BAM_file	sample.x	sample.id	experiment	epd	org	cell	fastq_files1	fastq_files2	fastq_files3	fastq_files4	fastq_files5	fastq_files6	fastq_files7	fastq_files8	description
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/20_Mmp_20_9-48493480/alignment_results/20_Mmp_20_9-48493480_marked.bam	20_Mmp_20_9	single-cells-mmp-03-20	single-cells	03	mmp	20	Mmp-20-9_S20_L001_R1_001.fastq.gz	Mmp-20-9_S20_L001_R2_001.fastq.gz	Mmp-20-9_S20_L002_R1_001.fastq.gz	Mmp-20-9_S20_L002_R2_001.fastq.gz	Mmp-20-9_S20_L003_R1_001.fastq.gz	Mmp-20-9_S20_L003_R2_001.fastq.gz	Mmp-20-9_S20_L004_R1_001.fastq.gz	Mmp-20-9_S20_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 20 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/21_Mmp_21_9-48508460/alignment_results/21_Mmp_21_9-48508460_marked.bam	21_Mmp_21_9	single-cells-mmp-03-21	single-cells	03	mmp	21	Mmp-21-9_S21_L001_R1_001.fastq.gz	Mmp-21-9_S21_L001_R2_001.fastq.gz	Mmp-21-9_S21_L002_R1_001.fastq.gz	Mmp-21-9_S21_L002_R2_001.fastq.gz	Mmp-21-9_S21_L003_R1_001.fastq.gz	Mmp-21-9_S21_L003_R2_001.fastq.gz	Mmp-21-9_S21_L004_R1_001.fastq.gz	Mmp-21-9_S21_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 21 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/22_Mmp_22_9-48504459/alignment_results/22_Mmp_22_9-48504459_marked.bam	22_Mmp_22_9	single-cells-mmp-03-22	single-cells	03	mmp	22	Mmp-22-9_S22_L001_R1_001.fastq.gz	Mmp-22-9_S22_L001_R2_001.fastq.gz	Mmp-22-9_S22_L002_R1_001.fastq.gz	Mmp-22-9_S22_L002_R2_001.fastq.gz	Mmp-22-9_S22_L003_R1_001.fastq.gz	Mmp-22-9_S22_L003_R2_001.fastq.gz	Mmp-22-9_S22_L004_R1_001.fastq.gz	Mmp-22-9_S22_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 22 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/23_Mmp_23_9-48504460/alignment_results/23_Mmp_23_9-48504460_marked.bam	23_Mmp_23_9	single-cells-mmp-03-23	single-cells	03	mmp	23	Mmp-23-9_S23_L001_R1_001.fastq.gz	Mmp-23-9_S23_L001_R2_001.fastq.gz	Mmp-23-9_S23_L002_R1_001.fastq.gz	Mmp-23-9_S23_L002_R2_001.fastq.gz	Mmp-23-9_S23_L003_R1_001.fastq.gz	Mmp-23-9_S23_L003_R2_001.fastq.gz	Mmp-23-9_S23_L004_R1_001.fastq.gz	Mmp-23-9_S23_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 23 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/24_Mmp_24_9-48506462/alignment_results/24_Mmp_24_9-48506462_marked.bam	24_Mmp_24_9	single-cells-mmp-03-24	single-cells	03	mmp	24	Mmp-24-9_S24_L001_R1_001.fastq.gz	Mmp-24-9_S24_L001_R2_001.fastq.gz	Mmp-24-9_S24_L002_R1_001.fastq.gz	Mmp-24-9_S24_L002_R2_001.fastq.gz	Mmp-24-9_S24_L003_R1_001.fastq.gz	Mmp-24-9_S24_L003_R2_001.fastq.gz	Mmp-24-9_S24_L004_R1_001.fastq.gz	Mmp-24-9_S24_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 24 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/25_Mmp_25_9-48497484/alignment_results/25_Mmp_25_9-48497484_marked.bam	25_Mmp_25_9	single-cells-mmp-03-25	single-cells	03	mmp	25	Mmp-25-9_S25_L001_R1_001.fastq.gz	Mmp-25-9_S25_L001_R2_001.fastq.gz	Mmp-25-9_S25_L002_R1_001.fastq.gz	Mmp-25-9_S25_L002_R2_001.fastq.gz	Mmp-25-9_S25_L003_R1_001.fastq.gz	Mmp-25-9_S25_L003_R2_001.fastq.gz	Mmp-25-9_S25_L004_R1_001.fastq.gz	Mmp-25-9_S25_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 25 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/26_Mmp_26_9-48502458/alignment_results/26_Mmp_26_9-48502458_marked.bam	26_Mmp_26_9	single-cells-mmp-03-26	single-cells	03	mmp	26	Mmp-26-9_S26_L001_R1_001.fastq.gz	Mmp-26-9_S26_L001_R2_001.fastq.gz	Mmp-26-9_S26_L002_R1_001.fastq.gz	Mmp-26-9_S26_L002_R2_001.fastq.gz	Mmp-26-9_S26_L003_R1_001.fastq.gz	Mmp-26-9_S26_L003_R2_001.fastq.gz	Mmp-26-9_S26_L004_R1_001.fastq.gz	Mmp-26-9_S26_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 26 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/27_Mmp_27_9-48497485/alignment_results/27_Mmp_27_9-48497485_marked.bam	27_Mmp_27_9	single-cells-mmp-03-27	single-cells	03	mmp	27	Mmp-27-9_S27_L001_R1_001.fastq.gz	Mmp-27-9_S27_L001_R2_001.fastq.gz	Mmp-27-9_S27_L002_R1_001.fastq.gz	Mmp-27-9_S27_L002_R2_001.fastq.gz	Mmp-27-9_S27_L003_R1_001.fastq.gz	Mmp-27-9_S27_L003_R2_001.fastq.gz	Mmp-27-9_S27_L004_R1_001.fastq.gz	Mmp-27-9_S27_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 27 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/28_Mmp_28_9-48508461/alignment_results/28_Mmp_28_9-48508461_marked.bam	28_Mmp_28_9	single-cells-mmp-03-28	single-cells	03	mmp	28	Mmp-28-9_S28_L001_R1_001.fastq.gz	Mmp-28-9_S28_L001_R2_001.fastq.gz	Mmp-28-9_S28_L002_R1_001.fastq.gz	Mmp-28-9_S28_L002_R2_001.fastq.gz	Mmp-28-9_S28_L003_R1_001.fastq.gz	Mmp-28-9_S28_L003_R2_001.fastq.gz	Mmp-28-9_S28_L004_R1_001.fastq.gz	Mmp-28-9_S28_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 28 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/29_Mmp_29_9-48500460/alignment_results/29_Mmp_29_9-48500460_marked.bam	29_Mmp_29_9	single-cells-mmp-03-29	single-cells	03	mmp	29	Mmp-29-9_S29_L001_R1_001.fastq.gz	Mmp-29-9_S29_L001_R2_001.fastq.gz	Mmp-29-9_S29_L002_R1_001.fastq.gz	Mmp-29-9_S29_L002_R2_001.fastq.gz	Mmp-29-9_S29_L003_R1_001.fastq.gz	Mmp-29-9_S29_L003_R2_001.fastq.gz	Mmp-29-9_S29_L004_R1_001.fastq.gz	Mmp-29-9_S29_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 29 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/03_Mmp_3_9-48493482/alignment_results/03_Mmp_3_9-48493482_marked.bam	03_Mmp_3_9	single-cells-mmp-03-3	single-cells	03	mmp	3	Mmp-3-9_S3_L001_R1_001.fastq.gz	Mmp-3-9_S3_L001_R2_001.fastq.gz	Mmp-3-9_S3_L002_R1_001.fastq.gz	Mmp-3-9_S3_L002_R2_001.fastq.gz	Mmp-3-9_S3_L003_R1_001.fastq.gz	Mmp-3-9_S3_L003_R2_001.fastq.gz	Mmp-3-9_S3_L004_R1_001.fastq.gz	Mmp-3-9_S3_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 3 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/30_Mmp_30_9-48503458/alignment_results/30_Mmp_30_9-48503458_marked.bam	30_Mmp_30_9	single-cells-mmp-03-30	single-cells	03	mmp	30	Mmp-30-9_S30_L001_R1_001.fastq.gz	Mmp-30-9_S30_L001_R2_001.fastq.gz	Mmp-30-9_S30_L002_R1_001.fastq.gz	Mmp-30-9_S30_L002_R2_001.fastq.gz	Mmp-30-9_S30_L003_R1_001.fastq.gz	Mmp-30-9_S30_L003_R2_001.fastq.gz	Mmp-30-9_S30_L004_R1_001.fastq.gz	Mmp-30-9_S30_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 30 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/31_Mmp_31_9-48507460/alignment_results/31_Mmp_31_9-48507460_marked.bam	31_Mmp_31_9	single-cells-mmp-03-31	single-cells	03	mmp	31	Mmp-31-9_S31_L001_R1_001.fastq.gz	Mmp-31-9_S31_L001_R2_001.fastq.gz	Mmp-31-9_S31_L002_R1_001.fastq.gz	Mmp-31-9_S31_L002_R2_001.fastq.gz	Mmp-31-9_S31_L003_R1_001.fastq.gz	Mmp-31-9_S31_L003_R2_001.fastq.gz	Mmp-31-9_S31_L004_R1_001.fastq.gz	Mmp-31-9_S31_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 31 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/32_Mmp_32_9-48495485/alignment_results/32_Mmp_32_9-48495485_marked.bam	32_Mmp_32_9	single-cells-mmp-03-32	single-cells	03	mmp	32	Mmp-32-9_S32_L001_R1_001.fastq.gz	Mmp-32-9_S32_L001_R2_001.fastq.gz	Mmp-32-9_S32_L002_R1_001.fastq.gz	Mmp-32-9_S32_L002_R2_001.fastq.gz	Mmp-32-9_S32_L003_R1_001.fastq.gz	Mmp-32-9_S32_L003_R2_001.fastq.gz	Mmp-32-9_S32_L004_R1_001.fastq.gz	Mmp-32-9_S32_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 32 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/33_Mmp_33_9-48497486/alignment_results/33_Mmp_33_9-48497486_marked.bam	33_Mmp_33_9	single-cells-mmp-03-33	single-cells	03	mmp	33	Mmp-33-9_S33_L001_R1_001.fastq.gz	Mmp-33-9_S33_L001_R2_001.fastq.gz	Mmp-33-9_S33_L002_R1_001.fastq.gz	Mmp-33-9_S33_L002_R2_001.fastq.gz	Mmp-33-9_S33_L003_R1_001.fastq.gz	Mmp-33-9_S33_L003_R2_001.fastq.gz	Mmp-33-9_S33_L004_R1_001.fastq.gz	Mmp-33-9_S33_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 33 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/35_Mmp_35_9-48498458/alignment_results/35_Mmp_35_9-48498458_marked.bam	35_Mmp_35_9	single-cells-mmp-03-35	single-cells	03	mmp	35	Mmp-35-9_S35_L001_R1_001.fastq.gz	Mmp-35-9_S35_L001_R2_001.fastq.gz	Mmp-35-9_S35_L002_R1_001.fastq.gz	Mmp-35-9_S35_L002_R2_001.fastq.gz	Mmp-35-9_S35_L003_R1_001.fastq.gz	Mmp-35-9_S35_L003_R2_001.fastq.gz	Mmp-35-9_S35_L004_R1_001.fastq.gz	Mmp-35-9_S35_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 35 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/36_Mmp_36_9-48501461/alignment_results/36_Mmp_36_9-48501461_marked.bam	36_Mmp_36_9	single-cells-mmp-03-36	single-cells	03	mmp	36	Mmp-36-9_S36_L001_R1_001.fastq.gz	Mmp-36-9_S36_L001_R2_001.fastq.gz	Mmp-36-9_S36_L002_R1_001.fastq.gz	Mmp-36-9_S36_L002_R2_001.fastq.gz	Mmp-36-9_S36_L003_R1_001.fastq.gz	Mmp-36-9_S36_L003_R2_001.fastq.gz	Mmp-36-9_S36_L004_R1_001.fastq.gz	Mmp-36-9_S36_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 36 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/37_Mmp_37_9-48503459/alignment_results/37_Mmp_37_9-48503459_marked.bam	37_Mmp_37_9	single-cells-mmp-03-37	single-cells	03	mmp	37	Mmp-37-9_S37_L001_R1_001.fastq.gz	Mmp-37-9_S37_L001_R2_001.fastq.gz	Mmp-37-9_S37_L002_R1_001.fastq.gz	Mmp-37-9_S37_L002_R2_001.fastq.gz	Mmp-37-9_S37_L003_R1_001.fastq.gz	Mmp-37-9_S37_L003_R2_001.fastq.gz	Mmp-37-9_S37_L004_R1_001.fastq.gz	Mmp-37-9_S37_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 37 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/38_Mmp_38_9-48493481/alignment_results/38_Mmp_38_9-48493481_marked.bam	38_Mmp_38_9	single-cells-mmp-03-38	single-cells	03	mmp	38	Mmp-38-9_S38_L001_R1_001.fastq.gz	Mmp-38-9_S38_L001_R2_001.fastq.gz	Mmp-38-9_S38_L002_R1_001.fastq.gz	Mmp-38-9_S38_L002_R2_001.fastq.gz	Mmp-38-9_S38_L003_R1_001.fastq.gz	Mmp-38-9_S38_L003_R2_001.fastq.gz	Mmp-38-9_S38_L004_R1_001.fastq.gz	Mmp-38-9_S38_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 38 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/39_Mmp_39_9-48482544/alignment_results/39_Mmp_39_9-48482544_marked.bam	39_Mmp_39_9	single-cells-mmp-03-39	single-cells	03	mmp	39	Mmp-39-9_S39_L001_R1_001.fastq.gz	Mmp-39-9_S39_L001_R2_001.fastq.gz	Mmp-39-9_S39_L002_R1_001.fastq.gz	Mmp-39-9_S39_L002_R2_001.fastq.gz	Mmp-39-9_S39_L003_R1_001.fastq.gz	Mmp-39-9_S39_L003_R2_001.fastq.gz	Mmp-39-9_S39_L004_R1_001.fastq.gz	Mmp-39-9_S39_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 39 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/40_Mmp_40_9-48482545/alignment_results/40_Mmp_40_9-48482545_marked.bam	40_Mmp_40_9	single-cells-mmp-03-40	single-cells	03	mmp	40	Mmp-40-9_S40_L001_R1_001.fastq.gz	Mmp-40-9_S40_L001_R2_001.fastq.gz	Mmp-40-9_S40_L002_R1_001.fastq.gz	Mmp-40-9_S40_L002_R2_001.fastq.gz	Mmp-40-9_S40_L003_R1_001.fastq.gz	Mmp-40-9_S40_L003_R2_001.fastq.gz	Mmp-40-9_S40_L004_R1_001.fastq.gz	Mmp-40-9_S40_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 40 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/41_Mmp_41_9-48499460/alignment_results/41_Mmp_41_9-48499460_marked.bam	41_Mmp_41_9	single-cells-mmp-03-41	single-cells	03	mmp	41	Mmp-41-9_S41_L001_R1_001.fastq.gz	Mmp-41-9_S41_L001_R2_001.fastq.gz	Mmp-41-9_S41_L002_R1_001.fastq.gz	Mmp-41-9_S41_L002_R2_001.fastq.gz	Mmp-41-9_S41_L003_R1_001.fastq.gz	Mmp-41-9_S41_L003_R2_001.fastq.gz	Mmp-41-9_S41_L004_R1_001.fastq.gz	Mmp-41-9_S41_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 41 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
/Volumes/omics4tb/sturkarslan/singleCell-UA3-mmp/results_03_2/mmp/42_Mmp_42_9-48502459/alignment_results/42_Mmp_42_9-48502459_marked.bam	42_Mmp_42_9	single-cells-mmp-03-42	single-cells	03	mmp	42	Mmp-42-9_S42_L001_R1_001.fastq.gz	Mmp-42-9_S42_L001_R2_001.fastq.gz	Mmp-42-9_S42_L002_R1_001.fastq.gz	Mmp-42-9_S42_L002_R2_001.fastq.gz	Mmp-42-9_S42_L003_R1_001.fastq.gz	Mmp-42-9_S42_L003_R2_001.fastq.gz	Mmp-42-9_S42_L004_R1_001.fastq.gz	Mmp-42-9_S42_L004_R2_001.fastq.gz	Genomic DNA collected from sorted single-cell # 42 of Methanococcus maripaludis from EPD 03 of UE3 co-culture with Desulfovibrio vulgaris after evolving for 1000 generation
