name	x	isgood	wasmodified	windowsize	rate	rate_sd	OD	OD_sd	x2	x3	Exp	Rack	Tube	line	dvh_strain	mmp_strain	pairing_type	Notes
UA3.152.09.D01 & UA3.152.09.D01	0	0	0	54	0.085255488	0.000354942	0.4972	0.028252434	0.085255488	0.4972	72	A	2	UA3.152.09	D01	D01	Dv-E_Monoculture	
UA3.152.09.D01 & UA3.152.09.D01	0	0	1	50	0.091509213	0.001154402	0.571	0.055122591	0.091509213	0.571	72	A	3	UA3.152.09	D01	D01	Dv-E_Monoculture	
UA3.152.09.D01 & UA3.152.09.D01	0	0	1	50	0.114018327	0.001326218	0.6206	0.070376132	0.114018327	0.6206	72	A	5	UA3.152.09	D01	D01	Dv-E_Monoculture	
UA3.152.09.D01 & UA3.152.09.D01	0	0	0	24	0.110405805	0.004520217	0.5546	0.030220854	0.110405805	0.5546	72	A	6	UA3.152.09	D01	D01	Dv-E_Monoculture	
UA3.152.09.D01 & UA3.152.09.D01	0	0	0	11	0.109087241	0.00239675	0.5366	0.050638918	0.109087241	0.5366	72	A	7	UA3.152.09	D01	D01	Dv-E_Monoculture	
UA3.152.09.D01 & UA3.152.09.M01	1	0	0	27	0.069007616	0.000532641	0.5626	0.019907285	0.069007616	#N/A	7	A	1	UA3.152.09	D01	M01	Dv-E_Mm-E	
UA3.152.09.D01 & UA3.152.09.M02	0	0	0	14	0.129727825	0.001805423	0.6074	0.00304959	0.129727825	0.6074	7	A	2	UA3.152.09	D01	M02	Dv-E_Mm-E	
UA3.152.09.D01 & UA3.152.09.M03	0	0	0	12	0.091962001	0.001469565	0.5706	0.001341641	0.091962001	0.5706	7	A	3	UA3.152.09	D01	M03	Dv-E_Mm-E	
UA3.152.09.D02 & UA3.152.09.Anc	0	0	0	20	0.2396355	0.019339172	0.4596	0.002607681	0.2396355	0.4596	146	D	5	UA3.152.09	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D02 & UA3.152.09.Anc	0	0	1	70	0.089100575	0.00425714	0.394	0.00212132	0.089100575	0.394	146	D	6	UA3.152.09	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D02 & UA3.152.09.Anc	0	0	0	15	0.203810003	0.04835876	0.47	0.005830952	0.203810003	0.47	146	D	7	UA3.152.09	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D02 & UA3.152.09.Anc	0	0	0	18	0.201546169	0.016150274	0.4516	0.005029911	0.201546169	0.4516	146	D	8	UA3.152.09	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D02 & UA3.152.09.D02	0	0	0	12	0.123794204	0.003125859	0.5842	0.017398276	0.123794204	0.5842	72	B	1	UA3.152.09	D02	D02	Dv-E_Monoculture	
UA3.152.09.D02 & UA3.152.09.D02	0	1	1	32	0.169591617	0.008859944	0.522	0.019	#N/A	#N/A	72	B	2	UA3.152.09	D02	D02	Dv-E_Monoculture	
UA3.152.09.D02 & UA3.152.09.D02	0	0	1	100	0.083693451	0.000651028	0.4986	0.002408319	0.083693451	0.4986	72	B	4	UA3.152.09	D02	D02	Dv-E_Monoculture	
UA3.152.09.D02 & UA3.152.09.D02	0	0	0	13	0.109727514	0.003614764	0.5074	0.001341641	0.109727514	0.5074	72	B	5	UA3.152.09	D02	D02	Dv-E_Monoculture	
UA3.152.09.D02 & UA3.152.09.D02	0	0	0	41	0.137058055	0.002619379	0.491	0.004743416	0.137058055	0.491	72	B	6	UA3.152.09	D02	D02	Dv-E_Monoculture	
UA3.152.09.D02 & UA3.152.09.M01	0	0	0	8	0.160828516	0.007430568	0.5448	0.00130384	0.160828516	0.5448	7	A	4	UA3.152.09	D02	M01	Dv-E_Mm-E	
UA3.152.09.D02 & UA3.152.09.M02	0	0	0	15	0.102019932	0.004304868	0.5252	0.005263079	0.102019932	0.5252	7	A	5	UA3.152.09	D02	M02	Dv-E_Mm-E	
UA3.152.09.D02 & UA3.152.09.M03	0	0	0	19	0.094089382	0.000710415	0.5274	0.008619745	0.094089382	0.5274	7	A	6	UA3.152.09	D02	M03	Dv-E_Mm-E	
UA3.152.09.D03 & UA3.152.09.Anc	0	0	1	70	0.100281433	0.003848676	0.4098	0.002949576	0.100281433	0.4098	146	F	5	UA3.152.09	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D03 & UA3.152.09.Anc	0	0	1	70	0.127304732	0.002838486	0.435	0.002345208	0.127304732	0.435	146	F	6	UA3.152.09	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D03 & UA3.152.09.Anc	0	0	1	70	0.126240106	0.002945441	0.4208	0.003271085	0.126240106	0.4208	146	F	7	UA3.152.09	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D03 & UA3.152.09.Anc	0	0	1	70	0.102820032	0.003259007	0.3756	0.00522494	0.102820032	0.3756	146	F	8	UA3.152.09	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.09.D03 & UA3.152.09.D03	0	0	0	30	0.138157391	0.001907143	0.4948	0.002280351	0.138157391	0.4948	72	B	7	UA3.152.09	D03	D03	Dv-E_Monoculture	
UA3.152.09.D03 & UA3.152.09.D03	0	0	0	22	0.156692375	0.002081984	0.495	0.011022704	0.156692375	0.495	72	B	8	UA3.152.09	D03	D03	Dv-E_Monoculture	
UA3.152.09.D03 & UA3.152.09.D03	0	0	0	13	0.096440373	0.008982114	0.4756	0.026857029	0.096440373	0.4756	72	C	1	UA3.152.09	D03	D03	Dv-E_Monoculture	
UA3.152.09.D03 & UA3.152.09.D03	0	0	1	50	0.116546262	0.001747778	0.5026	0.027763285	0.116546262	0.5026	72	C	2	UA3.152.09	D03	D03	Dv-E_Monoculture	
UA3.152.09.D03 & UA3.152.09.D03	0	0	0	35	0.115826997	0.003155163	0.535	0.027838822	0.115826997	0.535	72	C	3	UA3.152.09	D03	D03	Dv-E_Monoculture	
UA3.152.09.D03 & UA3.152.09.M01	0	0	0	20	0.126764605	0.003079352	0.5358	0.00248998	0.126764605	0.5358	7	A	7	UA3.152.09	D03	M01	Dv-E_Mm-E	
UA3.152.09.D03 & UA3.152.09.M02	0	0	0	14	0.10514189	0.001934517	0.5602	0.002588436	0.10514189	0.5602	7	A	8	UA3.152.09	D03	M02	Dv-E_Mm-E	
UA3.152.09.D03 & UA3.152.09.M03	0	0	0	21	0.119080441	0.002997546	0.5996	0.011104053	0.119080441	0.5996	7	B	1	UA3.152.09	D03	M03	Dv-E_Mm-E	
UA3.152.10.Anc & UA3.152.10.M02	0	0	0	39	0.050865726	0.002116609	0.3196	0.00522494	0.050865726	0.3196	163	A	5	UA3.152.10	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M02	0	0	0	21	0.060745573	0.002438998	0.324	0.00212132	0.060745573	0.324	163	A	7	UA3.152.10	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M02	0	0	0	11	0.066597168	0.002424329	0.2816	0.002302173	0.066597168	0.2816	163	A	8	UA3.152.10	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M02	1	0	0	23	0.056894165	0.000877251	0.0706	0.002073644	0.056894165	#N/A	162	A	4	UA3.152.10	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M02	1	1	1	48	0.033754973	0.003037473	0.065	0.001	#N/A	#N/A	162	A	5	UA3.152.10	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M02	1	0	1	30	0.113114438	0.001618581	0.0892	0.003701351	0.113114438	#N/A	162	A	7	UA3.152.10	Anc	M02	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M03	0	0	0	18	0.052226207	0.001412885	0.3302	0.001643168	0.052226207	0.3302	163	E	4	UA3.152.10	Anc	M03	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M03	0	0	1	50	0.045472652	0.000461624	0.3444	0.001516575	0.045472652	0.3444	163	E	5	UA3.152.10	Anc	M03	Dv-A_Mm-E	CCMA
UA3.152.10.Anc & UA3.152.10.M03	0	0	0	24	0.060717184	0.002405491	0.3154	0.00167332	0.060717184	0.3154	163	E	6	UA3.152.10	Anc	M03	Dv-A_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.Anc	0	0	0	15	0.099737137	0.002795015	0.3992	0.001643168	0.099737137	0.3992	158	H	2	UA3.152.10	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D01 & UA3.152.10.Anc	0	0	0	18	0.110869751	0.002634218	0.4136	0.002607681	0.110869751	0.4136	158	H	3	UA3.152.10	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D01 & UA3.152.10.Anc	1	0	0	22	0.070422052	0.001785617	0.2326	0.004449719	0.070422052	#N/A	158	H	4	UA3.152.10	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D01 & UA3.152.10.Anc	0	0	1	30	0.112844859	0.000888195	0.3808	0.00303315	0.112844859	0.3808	158	H	5	UA3.152.10	D01	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D01 & UA3.152.10.D01	0	0	1	20	0.147473435	0.001377121	0.5206	0.002880972	0.147473435	0.5206	72	E	4	UA3.152.10	D01	D01	Dv-E_Monoculture	
UA3.152.10.D01 & UA3.152.10.D01	0	0	0	16	0.166402958	0.005125844	0.5218	0.00204939	0.166402958	0.5218	72	E	5	UA3.152.10	D01	D01	Dv-E_Monoculture	
UA3.152.10.D01 & UA3.152.10.D01	0	0	1	50	0.133511336	0.001859532	0.5238	0.002167948	0.133511336	0.5238	72	E	6	UA3.152.10	D01	D01	Dv-E_Monoculture	
UA3.152.10.D01 & UA3.152.10.D01	0	0	0	12	0.157804518	0.00436778	0.532	0.001224745	0.157804518	0.532	72	E	7	UA3.152.10	D01	D01	Dv-E_Monoculture	
UA3.152.10.D01 & UA3.152.10.D01	0	0	0	16	0.117874333	0.002118887	0.5252	0.00130384	0.117874333	0.5252	72	E	8	UA3.152.10	D01	D01	Dv-E_Monoculture	
UA3.152.10.D01 & UA3.152.10.M01	0	0	0	18	0.092127609	0.001793496	0.463	0.003807887	0.092127609	0.463	40	A	2	UA3.152.10	D01	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M01	0	0	0	18	0.095847489	0.001270639	0.441	0.001870829	0.095847489	0.441	40	A	3	UA3.152.10	D01	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M01	0	0	0	22	0.08370911	0.00157029	0.3664	0.040844828	0.08370911	0.3664	40	A	5	UA3.152.10	D01	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M01	0	0	0	24	0.069270878	0.002403637	0.321	0.021083169	0.069270878	0.321	40	A	6	UA3.152.10	D01	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M02	0	0	0	18	0.083997753	0.001097216	0.3188	0.00130384	0.083997753	0.3188	40	A	7	UA3.152.10	D01	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M02	0	0	0	13	0.116173787	0.001592329	0.4506	0.002607681	0.116173787	0.4506	40	B	1	UA3.152.10	D01	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M02	1	1	1	201	0.003103415	0.001135456	0.4392	0.000447214	#N/A	#N/A	40	B	2	UA3.152.10	D01	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M02	0	0	0	12	0.111384982	0.002215632	0.4644	0.007924645	0.111384982	0.4644	40	B	4	UA3.152.10	D01	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M03	0	0	0	27	0.073629112	0.001734113	0.4966	0.021161285	0.073629112	0.4966	40	B	5	UA3.152.10	D01	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M03	0	0	0	12	0.106905897	0.002070966	0.332	0.009027735	0.106905897	0.332	40	B	6	UA3.152.10	D01	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M03	0	0	0	21	0.086586015	0.001833568	0.463	0.023979158	0.086586015	0.463	40	B	7	UA3.152.10	D01	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D01 & UA3.152.10.M03	0	0	1	30	0.107510836	0.00112529	0.4828	0.006379655	0.107510836	0.4828	40	B	8	UA3.152.10	D01	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.Anc	0	0	0	26	0.117967016	0.002409759	0.383	0.001732051	0.117967016	0.383	139	F	1	UA3.152.10	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D02 & UA3.152.10.Anc	0	0	0	10	0.094991577	0.001820673	0.4002	0.000447214	0.094991577	0.4002	139	F	2	UA3.152.10	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D02 & UA3.152.10.Anc	1	1	1	44	0.210800944	0.011753485	0.4176	0.000547723	#N/A	#N/A	139	F	3	UA3.152.10	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D02 & UA3.152.10.Anc	0	0	1	100	0.081418926	0.000856523	0.3854	0.001516575	0.081418926	0.3854	139	F	4	UA3.152.10	D02	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D02 & UA3.152.10.D02	0	0	0	15	0.170531838	0.002663784	0.5132	0.001923538	0.170531838	0.5132	72	F	1	UA3.152.10	D02	D02	Dv-E_Monoculture	
UA3.152.10.D02 & UA3.152.10.D02	0	0	0	9	0.146919263	0.000899728	0.502	0.001870829	0.146919263	0.502	72	F	2	UA3.152.10	D02	D02	Dv-E_Monoculture	
UA3.152.10.D02 & UA3.152.10.D02	0	0	0	8	0.165871517	0.004391451	0.5402	0.002167948	0.165871517	0.5402	72	F	3	UA3.152.10	D02	D02	Dv-E_Monoculture	
UA3.152.10.D02 & UA3.152.10.D02	0	0	0	14	0.148424043	0.001156282	0.4992	0.001788854	0.148424043	0.4992	72	F	4	UA3.152.10	D02	D02	Dv-E_Monoculture	
UA3.152.10.D02 & UA3.152.10.D02	0	0	0	15	0.161912494	0.012114177	0.5198	0.002588436	0.161912494	0.5198	72	F	5	UA3.152.10	D02	D02	Dv-E_Monoculture	
UA3.152.10.D02 & UA3.152.10.M01	0	0	0	20	0.105021349	0.0021015	0.4806	0.000547723	0.105021349	0.4806	40	C	1	UA3.152.10	D02	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M01	0	0	0	22	0.074977208	0.000888427	0.3644	0.000547723	0.074977208	0.3644	40	C	2	UA3.152.10	D02	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M01	0	0	0	16	0.085448142	0.001445738	0.2516	0.0060663	0.085448142	0.2516	40	C	3	UA3.152.10	D02	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M01	0	0	0	21	0.098329729	0.00147627	0.4922	0.001643168	0.098329729	0.4922	40	C	4	UA3.152.10	D02	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M02	0	0	0	18	0.101606374	0.001205732	0.4732	0.00130384	0.101606374	0.4732	40	C	5	UA3.152.10	D02	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M02	1	1	1	44	0.05248351	0.002257246	0.483	0	#N/A	#N/A	40	C	6	UA3.152.10	D02	M02	Dv-E_Mm-E	
UA3.152.10.D02 & UA3.152.10.M02	0	0	0	17	0.107449484	0.002990049	0.5076	0.040599261	0.107449484	0.5076	40	C	8	UA3.152.10	D02	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M02	0	0	1	30	0.094865245	0.000732393	0.4592	0.00130384	0.094865245	0.4592	40	D	1	UA3.152.10	D02	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M03	0	0	0	24	0.097603872	0.001863073	0.5278	0.00334664	0.097603872	0.5278	40	D	2	UA3.152.10	D02	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M03	0	0	0	22	0.088469687	0.000887975	0.4714	0.063212341	0.088469687	0.4714	40	D	3	UA3.152.10	D02	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M03	0	0	0	20	0.099792123	0.000309599	0.4768	0.001923538	0.099792123	0.4768	40	D	4	UA3.152.10	D02	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D02 & UA3.152.10.M03	0	0	0	19	0.09851939	0.001897707	0.4946	0.000547723	0.09851939	0.4946	40	D	5	UA3.152.10	D02	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.Anc	0	0	0	16	0.158501092	0.003519186	0.4084	0.00250998	0.158501092	0.4084	139	F	5	UA3.152.10	D03	Anc	Dv-E_Mm-A	CCMA
