sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	assembly	fasta_file
UE3_1000_CI_02_M02	UE3_1000_CI_02_M02	UE3 of Methanococcus at generation 1000 for clonal isolate M02 of EPD 02	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 02	bam	mmp_12_S56_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_09_D01	UE3_1000_CI_09_D01	UE3 of Desulfovibrioat generation 1000 for clonal isolate D01 of EPD 09	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 09	bam	dvh_13_S57_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_10_D03	UE3_1000_CI_10_D03	UE3 of Desulfovibrioat generation 1000 for clonal isolate D03 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 10	bam	dvh_14_S58_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_05_M02	HR2_1000_CI_05_M02	HR2 of Methanococcus at generation 1000 for clonal isolate M02 of EPD 05	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 05	bam	mmp_14_S58_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_10_D02	HR2_1000_CI_10_D02	HR2 of Desulfovibrioat generation 1000 for clonal isolate D02 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 10	bam	dvh_16_S60_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_01_M03	HR2_1000_CI_01_M03	HR2 of Methanococcus at generation 1000 for clonal isolate M03 of EPD 01	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 01	bam	mmp_16_S60_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_10_M01	HR2_1000_CI_10_M01	HR2 of Methanococcus at generation 1000 for clonal isolate M01 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 10	bam	mmp_17_S61_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_02_D01	UE3_1000_CI_02_D01	UE3 of Desulfovibrioat generation 1000 for clonal isolate D01 of EPD 02	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 02	bam	dvh_18_S62_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_05_D03	HR2_1000_CI_05_D03	HR2 of Desulfovibrioat generation 1000 for clonal isolate D03 of EPD 05	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 05	bam	dvh_19_S63_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_05_M01	HR2_1000_CI_05_M01	HR2 of Methanococcus at generation 1000 for clonal isolate M01 of EPD 05	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 05	bam	mmp_19_S63_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_09_D03	UE3_1000_CI_09_D03	UE3 of Desulfovibrioat generation 1000 for clonal isolate D03 of EPD 09	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 09	bam	dvh_20_S64_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_10_M02	UE3_1000_CI_10_M02	UE3 of Methanococcus at generation 1000 for clonal isolate M02 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 10	bam	mmp_20_S64_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_09_D02	UE3_1000_CI_09_D02	UE3 of Desulfovibrioat generation 1000 for clonal isolate D02 of EPD 09	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 09	bam	dvh_21_S65_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_01_D03	HR2_1000_CI_01_D03	HR2 of Desulfovibrioat generation 1000 for clonal isolate D03 of EPD 01	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 01	bam	dvh_22_S66_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_01_D01	HR2_1000_CI_01_D01	HR2 of Desulfovibrioat generation 1000 for clonal isolate D01 of EPD 01	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 01	bam	dvh_24_S68_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_10_M03	HR2_1000_CI_10_M03	HR2 of Methanococcus at generation 1000 for clonal isolate M03 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 10	bam	mmp_24_S68_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_02_M03	UE3_1000_CI_02_M03	UE3 of Methanococcus at generation 1000 for clonal isolate M03 of EPD 02	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 02	bam	mmp_25_S69_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_05_D01	HR2_1000_CI_05_D01	HR2 of Desulfovibrioat generation 1000 for clonal isolate D01 of EPD 05	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 05	bam	dvh_27_S71_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_09_M03	UE3_1000_CI_09_M03	UE3 of Methanococcus at generation 1000 for clonal isolate M03 of EPD 09	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 09	bam	mmp_27_S71_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_05_D02	HR2_1000_CI_05_D02	HR2 of Desulfovibrioat generation 1000 for clonal isolate D02 of EPD 05	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 05	bam	dvh_28_S72_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_03_M03	UE3_1000_CI_03_M03	UE3 of Methanococcus at generation 1000 for clonal isolate M03 of EPD 03	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 03	bam	mmp_29_S73_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_03_D01	UE3_1000_CI_03_D01	UE3 of Desulfovibrioat generation 1000 for clonal isolate D01 of EPD 03	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 03	bam	dvh_2_S46_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_03_M01	UE3_1000_CI_03_M01	UE3 of Methanococcus at generation 1000 for clonal isolate M01 of EPD 03	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 03	bam	mmp_31_S75_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_01_D02	HR2_1000_CI_01_D02	HR2 of Desulfovibrioat generation 1000 for clonal isolate D02 of EPD 01	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 01	bam	dvh_33_S77_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_10_M03	UE3_1000_CI_10_M03	UE3 of Methanococcus at generation 1000 for clonal isolate M03 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 10	bam	mmp_34_S78_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_05_M03	HR2_1000_CI_05_M03	HR2 of Methanococcus at generation 1000 for clonal isolate M03 of EPD 05	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 05	bam	mmp_35_S79_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_10_D01	HR2_1000_CI_10_D01	HR2 of Desulfovibrioat generation 1000 for clonal isolate D01 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 10	bam	dvh_36_S80_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_03_D03	UE3_1000_CI_03_D03	UE3 of Desulfovibrioat generation 1000 for clonal isolate D03 of EPD 03	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 03	bam	dvh_37_S81_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_03_M02	UE3_1000_CI_03_M02	UE3 of Methanococcus at generation 1000 for clonal isolate M02 of EPD 03	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 03	bam	mmp_3_S47_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_10_D03	HR2_1000_CI_10_D03	HR2 of Desulfovibrioat generation 1000 for clonal isolate D03 of EPD 10	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 10	bam	dvh_5_S49_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_03_D02	UE3_1000_CI_03_D02	UE3 of Desulfovibrioat generation 1000 for clonal isolate D02 of EPD 03	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 03	bam	dvh_6_S50_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
HR2_1000_CI_01_M01	HR2_1000_CI_01_M01	HR2 of Methanococcus at generation 1000 for clonal isolate M01 of EPD 01	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 01	bam	mmp_6_S50_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_09_M01	UE3_1000_CI_09_M01	UE3 of Methanococcus at generation 1000 for clonal isolate M01 of EPD 09	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 09	bam	mmp_7_S51_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_CI_01_M02	HR2_1000_CI_01_M02	HR2 of Methanococcus at generation 1000 for clonal isolate M02 of EPD 01	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 01	bam	mmp_8_S52_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
UE3_1000_CI_02_D03	UE3_1000_CI_02_D03	UE3 of Desulfovibrioat generation 1000 for clonal isolate D03 of EPD 02	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 02	bam	dvh_9_S53_marked.bam									Desulfovibrio_vulgaris_str_hildenborough.GCA_000195755.1.30.dna.genome.fasta
UE3_1000_CI_02_M01	UE3_1000_CI_02_M01	UE3 of Methanococcus at generation 1000 for clonal isolate M01 of EPD 02	WGS	GENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 02	bam	mmp_9_S53_marked.bam									Methanococcus_maripaludis_s2.GCA_000011585.1.30.dna.genome.fasta
HR2_1000_EPD_01	HR2_1000_EPD_01	HR2 of Desulfovibrio-Methanococcus coculture at generation 1000 for EPD 01	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 01	fastq	HR2-01_S3_L001_R1_001.fastq	HR2-01_S3_L001_R2_001.fastq								
HR2_1000_EPD_05	HR2_1000_EPD_05	HR2 of Desulfovibrio-Methanococcus coculture at generation 1000 for EPD 05	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 05	fastq	HR2-05_S4_L001_R1_001.fastq	HR2-05_S4_L001_R2_001.fastq								
HR2_1000_EPD_10	HR2_1000_EPD_10	HR2 of Desulfovibrio-Methanococcus coculture at generation 1000 for EPD 10	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 10	fastq	HR2-10_S4_L001_R1_001.fastq	HR2-10_S4_L001_R2_001.fastq								
UE3_1000_EPD_03	UE3_1000_EPD_03	UE3 of Desulfovibrio-Methanococcus coculture at generation 1000 for EPD 03	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 03	fastq	UE3-03_S2_L001_R1_001.fastq	UE3-03_S2_L001_R2_001.fastq								
UE3_1000_EPD_09	UE3_1000_EPD_09	UE3 of Desulfovibrio-Methanococcus coculture at generation 1000 for EPD 09	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 09	fastq	UE3-09_S5_L001_R1_001.fastq	UE3-09_S5_L001_R2_001.fastq								
UE3_1000_EPD_10	UE3_1000_EPD_10	UE3 of Desulfovibrio-Methanococcus coculture at generation 1000 for EPD 10	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 10	fastq	UE3-10_S3_L001_R1_001.fastq	UE3-10_S3_L001_R2_001.fastq								
HA3_780_EG	HA3_780_EG	HA3 of Desulfovibrio-Methanococcus co-culture at generation 780	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780	fastq	HA3-118.2_R1.fastq	HA3-118.2_R2.fastq								
HA3_100_EG	HA3_100_EG	HA3 of Desulfovibrio-Methanococcus co-culture at generation 100	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100	fastq	HA3-15_1.fastq	HA3-15_2.fastq								
HA3_300_EG	HA3_300_EG	HA3 of Desulfovibrio-Methanococcus co-culture at generation 300	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300	fastq	HA3-45_R1.fastq	HA3-45_R2.fastq								
HA3_500_EG	HA3_500_EG	HA3 of Desulfovibrio-Methanococcus co-culture at generation 500	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500	fastq	HA3-76_1.fastq	HA3-76_2.fastq								
HE3_780_EG	HE3_780_EG	HE3 of Desulfovibrio-Methanococcus co-culture at generation 780	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780	fastq	HE3-118_R1.fastq	HE3-118_R2.fastq								
HE3_100_EG	HE3_100_EG	HE3 of Desulfovibrio-Methanococcus co-culture at generation 100	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100	fastq	HE3-15_1.fastq	HE3-15_2.fastq								
HE3_300_EG	HE3_300_EG	HE3 of Desulfovibrio-Methanococcus co-culture at generation 300	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300	fastq	HE3-45_R1.fastq	HE3-45_R2.fastq								
HE3_500_EG	HE3_500_EG	HE3 of Desulfovibrio-Methanococcus co-culture at generation 500	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500	fastq	HE3-76_1.fastq	HE3-76_2.fastq								
HR2_780_EG	HR2_780_EG	HR2 of Desulfovibrio-Methanococcus co-culture at generation 780	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780	fastq	HR2-118_R1.fastq	HR2-118_R2.fastq								
HR2_100_EG	HR2_100_EG	HR2 of Desulfovibrio-Methanococcus co-culture at generation 100	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100	fastq	HR2-15_1.fastq	HR2-15_2.fastq								
HR2_300_EG	HR2_300_EG	HR2 of Desulfovibrio-Methanococcus co-culture at generation 300	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300	fastq	HR2-45_R1.fastq	HR2-45_R2.fastq								
HR2_500_EG	HR2_500_EG	HR2 of Desulfovibrio-Methanococcus co-culture at generation 500	WGS	METAGENOMIC	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500	fastq	HR2-76_1.fastq	HR2-76_2.fastq								
