File	sample.id	experiment	org	sample	no	tmp1
Ancestors/results/mmp/Mm-Ancestor-2/M2_1_marked.bam	Ancestors-Mm-Ancestor-2	Ancestors	mmp	Mm-Ancestor-2	Mm-Ancestor-2	NA
Clonal-isolates/results/dvh/00_S7/alignment_results/00_S7_marked.bam	Clonal-isolates-00_S7	Clonal-isolates	dvh	00_S7	00	S7
Clonal-isolates/results/dvh/10_S54/alignment_results/10_S54_marked.bam	Clonal-isolates-HA2.152.09.D01	Clonal-isolates	dvh	HA2.152.09.D01	10	S54
Clonal-isolates/results/dvh/11_S55/alignment_results/11_S55_marked.bam	Clonal-isolates-UA3.152.10.D02	Clonal-isolates	dvh	UA3.152.10.D02	11	S55
Clonal-isolates/results/dvh/12_S56/alignment_results/12_S56_marked.bam	Clonal-isolates-UA3.152.02.D02	Clonal-isolates	dvh	UA3.152.02.D02	12	S56
Clonal-isolates/results/dvh/13_S57/alignment_results/13_S57_marked.bam	Clonal-isolates-UA3.152.09.D01	Clonal-isolates	dvh	UA3.152.09.D01	13	S57
Clonal-isolates/results/dvh/14_S58/alignment_results/14_S58_marked.bam	Clonal-isolates-UA3.152.10.D03	Clonal-isolates	dvh	UA3.152.10.D03	14	S58
Clonal-isolates/results/dvh/15_S59/alignment_results/15_S59_marked.bam	Clonal-isolates-HA2.152.02.D01	Clonal-isolates	dvh	HA2.152.02.D01	15	S59
Clonal-isolates/results/dvh/16_S60/alignment_results/16_S60_marked.bam	Clonal-isolates-HR2.152.10.D02	Clonal-isolates	dvh	HR2.152.10.D02	16	S60
Clonal-isolates/results/dvh/17_S61/alignment_results/17_S61_marked.bam	Clonal-isolates-HA2.152.08.D03	Clonal-isolates	dvh	HA2.152.08.D03	17	S61
Clonal-isolates/results/dvh/18_S62/alignment_results/18_S62_marked.bam	Clonal-isolates-UA3.152.02.D01	Clonal-isolates	dvh	UA3.152.02.D01	18	S62
Clonal-isolates/results/dvh/19_S63/alignment_results/19_S63_marked.bam	Clonal-isolates-HR2.152.05.D03	Clonal-isolates	dvh	HR2.152.05.D03	19	S63
Clonal-isolates/results/dvh/20_S64/alignment_results/20_S64_marked.bam	Clonal-isolates-UA3.152.09.D03	Clonal-isolates	dvh	UA3.152.09.D03	20	S64
Clonal-isolates/results/dvh/21_S65/alignment_results/21_S65_marked.bam	Clonal-isolates-UA3.152.09.D02	Clonal-isolates	dvh	UA3.152.09.D02	21	S65
Clonal-isolates/results/dvh/22_S66/alignment_results/22_S66_marked.bam	Clonal-isolates-HR2.152.01.D03	Clonal-isolates	dvh	HR2.152.01.D03	22	S66
Clonal-isolates/results/dvh/23_S67/alignment_results/23_S67_marked.bam	Clonal-isolates-HA2.152.09.D03	Clonal-isolates	dvh	HA2.152.09.D03	23	S67
Clonal-isolates/results/dvh/24_S68/alignment_results/24_S68_marked.bam	Clonal-isolates-HR2.152.01.D01	Clonal-isolates	dvh	HR2.152.01.D01	24	S68
Clonal-isolates/results/dvh/25_S69/alignment_results/25_S69_marked.bam	Clonal-isolates-HA2.152.02.D03	Clonal-isolates	dvh	HA2.152.02.D03	25	S69
Clonal-isolates/results/dvh/26_S70/alignment_results/26_S70_marked.bam	Clonal-isolates-HA2.152.01.D01	Clonal-isolates	dvh	HA2.152.01.D01	26	S70
Clonal-isolates/results/dvh/27_S71/alignment_results/27_S71_marked.bam	Clonal-isolates-HR2.152.05.D01	Clonal-isolates	dvh	HR2.152.05.D01	27	S71
Clonal-isolates/results/dvh/28_S72/alignment_results/28_S72_marked.bam	Clonal-isolates-HR2.152.05.D02	Clonal-isolates	dvh	HR2.152.05.D02	28	S72
Clonal-isolates/results/dvh/29_S73/alignment_results/29_S73_marked.bam	Clonal-isolates-HA2.152.08.D01	Clonal-isolates	dvh	HA2.152.08.D01	29	S73
Clonal-isolates/results/dvh/2_S46/alignment_results/2_S46_marked.bam	Clonal-isolates-UA3.152.03.D01	Clonal-isolates	dvh	UA3.152.03.D01	2	S46
Clonal-isolates/results/dvh/30_S74/alignment_results/30_S74_marked.bam	Clonal-isolates-DvH 152 WT.D01	Clonal-isolates	dvh	DvH 152 WT.D01	30	S74
Clonal-isolates/results/dvh/31_S75/alignment_results/31_S75_marked.bam	Clonal-isolates-HA2.152.02.D02	Clonal-isolates	dvh	HA2.152.02.D02	31	S75
Clonal-isolates/results/dvh/32_S76/alignment_results/32_S76_marked.bam	Clonal-isolates-HA2.152.05.D03	Clonal-isolates	dvh	HA2.152.05.D03	32	S76
Clonal-isolates/results/dvh/33_S77/alignment_results/33_S77_marked.bam	Clonal-isolates-HR2.152.01.D02	Clonal-isolates	dvh	HR2.152.01.D02	33	S77
Clonal-isolates/results/dvh/34_S78/alignment_results/34_S78_marked.bam	Clonal-isolates-HA2.152.09.D02	Clonal-isolates	dvh	HA2.152.09.D02	34	S78
Clonal-isolates/results/dvh/35_S79/alignment_results/35_S79_marked.bam	Clonal-isolates-HA2.152.08.D02	Clonal-isolates	dvh	HA2.152.08.D02	35	S79
Clonal-isolates/results/dvh/36_S80/alignment_results/36_S80_marked.bam	Clonal-isolates-HR2.152.10.D01	Clonal-isolates	dvh	HR2.152.10.D01	36	S80
Clonal-isolates/results/dvh/37_S81/alignment_results/37_S81_marked.bam	Clonal-isolates-UA3.152.03.D03	Clonal-isolates	dvh	UA3.152.03.D03	37	S81
Clonal-isolates/results/dvh/3_S47/alignment_results/3_S47_marked.bam	Clonal-isolates-HA2.152.01.D02	Clonal-isolates	dvh	HA2.152.01.D02	3	S47
Clonal-isolates/results/dvh/4_S48/alignment_results/4_S48_marked.bam	Clonal-isolates-HA2.152.01.D03	Clonal-isolates	dvh	HA2.152.01.D03	4	S48
Clonal-isolates/results/dvh/5_S49/alignment_results/5_S49_marked.bam	Clonal-isolates-HR2.152.10.D03	Clonal-isolates	dvh	HR2.152.10.D03	5	S49
Clonal-isolates/results/dvh/6_S50/alignment_results/6_S50_marked.bam	Clonal-isolates-UA3.152.03.D02	Clonal-isolates	dvh	UA3.152.03.D02	6	S50
Clonal-isolates/results/dvh/7_S51/alignment_results/7_S51_marked.bam	Clonal-isolates-HA2.152.05.D01	Clonal-isolates	dvh	HA2.152.05.D01	7	S51
Clonal-isolates/results/dvh/8_S52/alignment_results/8_S52_marked.bam	Clonal-isolates-UA3.152.10.D01	Clonal-isolates	dvh	UA3.152.10.D01	8	S52
Clonal-isolates/results/dvh/9_S53/alignment_results/9_S53_marked.bam	Clonal-isolates-UA3.152.02.D03	Clonal-isolates	dvh	UA3.152.02.D03	9	S53
Clonal-isolates/results/mmp/00_S7/alignment_results/00_S7_marked.bam	Clonal-isolates-00_S7	Clonal-isolates	mmp	00_S7	00	S7
Clonal-isolates/results/mmp/10_S54/alignment_results/10_S54_marked.bam	Clonal-isolates-UA3.152.09.M02	Clonal-isolates	mmp	UA3.152.09.M02	10	S54
Clonal-isolates/results/mmp/11_S55/alignment_results/11_S55_marked.bam	Clonal-isolates-HR2.152.10.M02	Clonal-isolates	mmp	HR2.152.10.M02	11	S55
Clonal-isolates/results/mmp/12_S56/alignment_results/12_S56_marked.bam	Clonal-isolates-UA3.152.02.M02	Clonal-isolates	mmp	UA3.152.02.M02	12	S56
Clonal-isolates/results/mmp/13_S57/alignment_results/13_S57_marked.bam	Clonal-isolates-Mp W152 WT.M02	Clonal-isolates	mmp	Mp W152 WT.M02	13	S57
Clonal-isolates/results/mmp/14_S58/alignment_results/14_S58_marked.bam	Clonal-isolates-HR2.152.05.M02	Clonal-isolates	mmp	HR2.152.05.M02	14	S58
Clonal-isolates/results/mmp/15_S59/alignment_results/15_S59_marked.bam	Clonal-isolates-HA2.152.05.M02	Clonal-isolates	mmp	HA2.152.05.M02	15	S59
Clonal-isolates/results/mmp/16_S60/alignment_results/16_S60_marked.bam	Clonal-isolates-HR2.152.01.M03	Clonal-isolates	mmp	HR2.152.01.M03	16	S60
Clonal-isolates/results/mmp/17_S61/alignment_results/17_S61_marked.bam	Clonal-isolates-HR2.152.10.M01	Clonal-isolates	mmp	HR2.152.10.M01	17	S61
Clonal-isolates/results/mmp/18_S62/alignment_results/18_S62_marked.bam	Clonal-isolates-HA2.152.05.M03	Clonal-isolates	mmp	HA2.152.05.M03	18	S62
Clonal-isolates/results/mmp/19_S63/alignment_results/19_S63_marked.bam	Clonal-isolates-HR2.152.05.M01	Clonal-isolates	mmp	HR2.152.05.M01	19	S63
Clonal-isolates/results/mmp/20_S64/alignment_results/20_S64_marked.bam	Clonal-isolates-UA3.152.10.M02	Clonal-isolates	mmp	UA3.152.10.M02	20	S64
Clonal-isolates/results/mmp/21_S65/alignment_results/21_S65_marked.bam	Clonal-isolates-HA2.152.09.M03	Clonal-isolates	mmp	HA2.152.09.M03	21	S65
Clonal-isolates/results/mmp/22_S66/alignment_results/22_S66_marked.bam	Clonal-isolates-HA2.152.01.M01	Clonal-isolates	mmp	HA2.152.01.M01	22	S66
Clonal-isolates/results/mmp/23_S67/alignment_results/23_S67_marked.bam	Clonal-isolates-HA2.152.09.M01	Clonal-isolates	mmp	HA2.152.09.M01	23	S67
Clonal-isolates/results/mmp/24_S68/alignment_results/24_S68_marked.bam	Clonal-isolates-HR2.152.10.M03	Clonal-isolates	mmp	HR2.152.10.M03	24	S68
Clonal-isolates/results/mmp/25_S69/alignment_results/25_S69_marked.bam	Clonal-isolates-UA3.152.02.M03	Clonal-isolates	mmp	UA3.152.02.M03	25	S69
Clonal-isolates/results/mmp/26_S70/alignment_results/26_S70_marked.bam	Clonal-isolates-HA2.152.08.M01	Clonal-isolates	mmp	HA2.152.08.M01	26	S70
Clonal-isolates/results/mmp/27_S71/alignment_results/27_S71_marked.bam	Clonal-isolates-UA3.152.09.M03	Clonal-isolates	mmp	UA3.152.09.M03	27	S71
Clonal-isolates/results/mmp/28_S72/alignment_results/28_S72_marked.bam	Clonal-isolates-HA2.152.01.M03	Clonal-isolates	mmp	HA2.152.01.M03	28	S72
Clonal-isolates/results/mmp/29_S73/alignment_results/29_S73_marked.bam	Clonal-isolates-UA3.152.03.M03	Clonal-isolates	mmp	UA3.152.03.M03	29	S73
Clonal-isolates/results/mmp/2_S46/alignment_results/2_S46_marked.bam	Clonal-isolates-HA2.152.09.M02	Clonal-isolates	mmp	HA2.152.09.M02	2	S46
Clonal-isolates/results/mmp/30_S74/alignment_results/30_S74_marked.bam	Clonal-isolates-HA2.152.01.M02	Clonal-isolates	mmp	HA2.152.01.M02	30	S74
Clonal-isolates/results/mmp/31_S75/alignment_results/31_S75_marked.bam	Clonal-isolates-UA3.152.03.M01	Clonal-isolates	mmp	UA3.152.03.M01	31	S75
Clonal-isolates/results/mmp/32_S76/alignment_results/32_S76_marked.bam	Clonal-isolates-UA3.152.10.M01	Clonal-isolates	mmp	UA3.152.10.M01	32	S76
Clonal-isolates/results/mmp/33_S77/alignment_results/33_S77_marked.bam	Clonal-isolates-HA2.152.05.M01	Clonal-isolates	mmp	HA2.152.05.M01	33	S77
Clonal-isolates/results/mmp/34_S78/alignment_results/34_S78_marked.bam	Clonal-isolates-UA3.152.10.M03	Clonal-isolates	mmp	UA3.152.10.M03	34	S78
Clonal-isolates/results/mmp/35_S79/alignment_results/35_S79_marked.bam	Clonal-isolates-HR2.152.05.M03	Clonal-isolates	mmp	HR2.152.05.M03	35	S79
Clonal-isolates/results/mmp/37_S81/alignment_results/37_S81_marked.bam	Clonal-isolates-UA3.152.03.D03	Clonal-isolates	mmp	UA3.152.03.D03	37	S81
Clonal-isolates/results/mmp/3_S47/alignment_results/3_S47_marked.bam	Clonal-isolates-UA3.152.03.M02	Clonal-isolates	mmp	UA3.152.03.M02	3	S47
Clonal-isolates/results/mmp/4_S48/alignment_results/4_S48_marked.bam	Clonal-isolates-HA2.152.08.M03	Clonal-isolates	mmp	HA2.152.08.M03	4	S48
Clonal-isolates/results/mmp/5_S49/alignment_results/5_S49_marked.bam	Clonal-isolates-Mp W152 WT.M01	Clonal-isolates	mmp	Mp W152 WT.M01	5	S49
Clonal-isolates/results/mmp/6_S50/alignment_results/6_S50_marked.bam	Clonal-isolates-HR2.152.01.M01	Clonal-isolates	mmp	HR2.152.01.M01	6	S50
Clonal-isolates/results/mmp/7_S51/alignment_results/7_S51_marked.bam	Clonal-isolates-UA3.152.09.M01	Clonal-isolates	mmp	UA3.152.09.M01	7	S51
Clonal-isolates/results/mmp/8_S52/alignment_results/8_S52_marked.bam	Clonal-isolates-HR2.152.01.M02	Clonal-isolates	mmp	HR2.152.01.M02	8	S52
Clonal-isolates/results/mmp/9_S53/alignment_results/9_S53_marked.bam	Clonal-isolates-UA3.152.02.M01	Clonal-isolates	mmp	UA3.152.02.M01	9	S53
EPD/results/dvh/HR2_01/alignment_results/HR2_01_marked.bam	EPD-HR2_01	EPD	dvh	HR2_01	HR2	01
EPD/results/dvh/HR2_05/alignment_results/HR2_05_marked.bam	EPD-HR2_05	EPD	dvh	HR2_05	HR2	05
EPD/results/dvh/HR2_10/alignment_results/HR2_10_marked.bam	EPD-HR2_10	EPD	dvh	HR2_10	HR2	10
EPD/results/dvh/UE3_03/alignment_results/UE3_03_marked.bam	EPD-UE3_03	EPD	dvh	UE3_03	UE3	03
EPD/results/dvh/UE3_09/alignment_results/UE3_09_marked.bam	EPD-UE3_09	EPD	dvh	UE3_09	UE3	09
EPD/results/dvh/UE3_10/alignment_results/UE3_10_marked.bam	EPD-UE3_10	EPD	dvh	UE3_10	UE3	10
EPD/results/mmp/HR2_01/alignment_results/HR2_01_marked.bam	EPD-HR2_01	EPD	mmp	HR2_01	HR2	01
EPD/results/mmp/HR2_05/alignment_results/HR2_05_marked.bam	EPD-HR2_05	EPD	mmp	HR2_05	HR2	05
EPD/results/mmp/HR2_10/alignment_results/HR2_10_marked.bam	EPD-HR2_10	EPD	mmp	HR2_10	HR2	10
EPD/results/mmp/UE3_03/alignment_results/UE3_03_marked.bam	EPD-UE3_03	EPD	mmp	UE3_03	UE3	03
EPD/results/mmp/UE3_09/alignment_results/UE3_09_marked.bam	EPD-UE3_09	EPD	mmp	UE3_09	UE3	09
EPD/results/mmp/UE3_10/alignment_results/UE3_10_marked.bam	EPD-UE3_10	EPD	mmp	UE3_10	UE3	10
Early-gen/results/dvh/HA2_118/alignment_results/HA2_118_marked.bam	Early-gen-HA2_118	Early-gen	dvh	HA2_118	HA2	118
Early-gen/results/dvh/HA2_15/alignment_results/HA2_15_marked.bam	Early-gen-HA2_15	Early-gen	dvh	HA2_15	HA2	15
Early-gen/results/dvh/HA2_45/alignment_results/HA2_45_marked.bam	Early-gen-HA2_45	Early-gen	dvh	HA2_45	HA2	45
Early-gen/results/dvh/HA2_76/alignment_results/HA2_76_marked.bam	Early-gen-HA2_76	Early-gen	dvh	HA2_76	HA2	76
Early-gen/results/dvh/HA3_118.Early/alignment_results/HA3_118.Early_marked.bam	Early-gen-HA3_118.Early	Early-gen	dvh	HA3_118.Early	HA3	118.Early
Early-gen/results/dvh/HA3_118.New/alignment_results/HA3_118.New_marked.bam	Early-gen-HA3_118.New	Early-gen	dvh	HA3_118.New	HA3	118.New
Early-gen/results/dvh/HA3_15/alignment_results/HA3_15_marked.bam	Early-gen-HA3_15	Early-gen	dvh	HA3_15	HA3	15
Early-gen/results/dvh/HA3_45/alignment_results/HA3_45_marked.bam	Early-gen-HA3_45	Early-gen	dvh	HA3_45	HA3	45
Early-gen/results/dvh/HA3_76/alignment_results/HA3_76_marked.bam	Early-gen-HA3_76	Early-gen	dvh	HA3_76	HA3	76
Early-gen/results/dvh/HE3_118/alignment_results/HE3_118_marked.bam	Early-gen-HE3_118	Early-gen	dvh	HE3_118	HE3	118
Early-gen/results/dvh/HE3_15/alignment_results/HE3_15_marked.bam	Early-gen-HE3_15	Early-gen	dvh	HE3_15	HE3	15
Early-gen/results/dvh/HE3_45/alignment_results/HE3_45_marked.bam	Early-gen-HE3_45	Early-gen	dvh	HE3_45	HE3	45
Early-gen/results/dvh/HE3_76/alignment_results/HE3_76_marked.bam	Early-gen-HE3_76	Early-gen	dvh	HE3_76	HE3	76
Early-gen/results/dvh/HR2_118/alignment_results/HR2_118_marked.bam	Early-gen-HR2_118	Early-gen	dvh	HR2_118	HR2	118
Early-gen/results/dvh/HR2_15/alignment_results/HR2_15_marked.bam	Early-gen-HR2_15	Early-gen	dvh	HR2_15	HR2	15
Early-gen/results/dvh/HR2_45/alignment_results/HR2_45_marked.bam	Early-gen-HR2_45	Early-gen	dvh	HR2_45	HR2	45
Early-gen/results/dvh/HR2_76/alignment_results/HR2_76_marked.bam	Early-gen-HR2_76	Early-gen	dvh	HR2_76	HR2	76
Early-gen/results/dvh/HS3_118/alignment_results/HS3_118_marked.bam	Early-gen-HS3_118	Early-gen	dvh	HS3_118	HS3	118
Early-gen/results/dvh/HS3_15/alignment_results/HS3_15_marked.bam	Early-gen-HS3_15	Early-gen	dvh	HS3_15	HS3	15
Early-gen/results/dvh/HS3_45/alignment_results/HS3_45_marked.bam	Early-gen-HS3_45	Early-gen	dvh	HS3_45	HS3	45
Early-gen/results/dvh/HS3_76/alignment_results/HS3_76_marked.bam	Early-gen-HS3_76	Early-gen	dvh	HS3_76	HS3	76
Early-gen/results/dvh/UA3_118/alignment_results/UA3_118_marked.bam	Early-gen-UA3_118	Early-gen	dvh	UA3_118	UA3	118
Early-gen/results/dvh/UA3_15/alignment_results/UA3_15_marked.bam	Early-gen-UA3_15	Early-gen	dvh	UA3_15	UA3	15
Early-gen/results/dvh/UA3_45/alignment_results/UA3_45_marked.bam	Early-gen-UA3_45	Early-gen	dvh	UA3_45	UA3	45
Early-gen/results/dvh/UA3_76/alignment_results/UA3_76_marked.bam	Early-gen-UA3_76	Early-gen	dvh	UA3_76	UA3	76
Early-gen/results/dvh/UE3_118/alignment_results/UE3_118_marked.bam	Early-gen-UE3_118	Early-gen	dvh	UE3_118	UE3	118
Early-gen/results/dvh/UE3_15/alignment_results/UE3_15_marked.bam	Early-gen-UE3_15	Early-gen	dvh	UE3_15	UE3	15
Early-gen/results/dvh/UE3_45/alignment_results/UE3_45_marked.bam	Early-gen-UE3_45	Early-gen	dvh	UE3_45	UE3	45
Early-gen/results/dvh/UE3_76/alignment_results/UE3_76_marked.bam	Early-gen-UE3_76	Early-gen	dvh	UE3_76	UE3	76
Early-gen/results/dvh/UR1_118/alignment_results/UR1_118_marked.bam	Early-gen-UR1_118	Early-gen	dvh	UR1_118	UR1	118
Early-gen/results/dvh/UR1_15/alignment_results/UR1_15_marked.bam	Early-gen-UR1_15	Early-gen	dvh	UR1_15	UR1	15
Early-gen/results/dvh/UR1_45/alignment_results/UR1_45_marked.bam	Early-gen-UR1_45	Early-gen	dvh	UR1_45	UR1	45
Early-gen/results/dvh/UR1_76/alignment_results/UR1_76_marked.bam	Early-gen-UR1_76	Early-gen	dvh	UR1_76	UR1	76
Early-gen/results/dvh/US1_118/alignment_results/US1_118_marked.bam	Early-gen-US1_118	Early-gen	dvh	US1_118	US1	118
Early-gen/results/dvh/US1_15/alignment_results/US1_15_marked.bam	Early-gen-US1_15	Early-gen	dvh	US1_15	US1	15
Early-gen/results/dvh/US1_45/alignment_results/US1_45_marked.bam	Early-gen-US1_45	Early-gen	dvh	US1_45	US1	45
Early-gen/results/dvh/US1_76/alignment_results/US1_76_marked.bam	Early-gen-US1_76	Early-gen	dvh	US1_76	US1	76
Early-gen/results/mmp/HA2_118/alignment_results/HA2_118_marked.bam	Early-gen-HA2_118	Early-gen	mmp	HA2_118	HA2	118
Early-gen/results/mmp/HA2_15/alignment_results/HA2_15_marked.bam	Early-gen-HA2_15	Early-gen	mmp	HA2_15	HA2	15
Early-gen/results/mmp/HA2_45/alignment_results/HA2_45_marked.bam	Early-gen-HA2_45	Early-gen	mmp	HA2_45	HA2	45
Early-gen/results/mmp/HA2_76/alignment_results/HA2_76_marked.bam	Early-gen-HA2_76	Early-gen	mmp	HA2_76	HA2	76
Early-gen/results/mmp/HA3_118.Early/alignment_results/HA3_118.Early_marked.bam	Early-gen-HA3_118.Early	Early-gen	mmp	HA3_118.Early	HA3	118.Early
Early-gen/results/mmp/HA3_118.New/alignment_results/HA3_118.New_marked.bam	Early-gen-HA3_118.New	Early-gen	mmp	HA3_118.New	HA3	118.New
Early-gen/results/mmp/HA3_15/alignment_results/HA3_15_marked.bam	Early-gen-HA3_15	Early-gen	mmp	HA3_15	HA3	15
Early-gen/results/mmp/HA3_45/alignment_results/HA3_45_marked.bam	Early-gen-HA3_45	Early-gen	mmp	HA3_45	HA3	45
Early-gen/results/mmp/HA3_76/alignment_results/HA3_76_marked.bam	Early-gen-HA3_76	Early-gen	mmp	HA3_76	HA3	76
Early-gen/results/mmp/HE3_118/alignment_results/HE3_118_marked.bam	Early-gen-HE3_118	Early-gen	mmp	HE3_118	HE3	118
Early-gen/results/mmp/HE3_15/alignment_results/HE3_15_marked.bam	Early-gen-HE3_15	Early-gen	mmp	HE3_15	HE3	15
Early-gen/results/mmp/HE3_45/alignment_results/HE3_45_marked.bam	Early-gen-HE3_45	Early-gen	mmp	HE3_45	HE3	45
Early-gen/results/mmp/HE3_76/alignment_results/HE3_76_marked.bam	Early-gen-HE3_76	Early-gen	mmp	HE3_76	HE3	76
Early-gen/results/mmp/HR2_118/alignment_results/HR2_118_marked.bam	Early-gen-HR2_118	Early-gen	mmp	HR2_118	HR2	118
Early-gen/results/mmp/HR2_15/alignment_results/HR2_15_marked.bam	Early-gen-HR2_15	Early-gen	mmp	HR2_15	HR2	15
Early-gen/results/mmp/HR2_45/alignment_results/HR2_45_marked.bam	Early-gen-HR2_45	Early-gen	mmp	HR2_45	HR2	45
Early-gen/results/mmp/HR2_76/alignment_results/HR2_76_marked.bam	Early-gen-HR2_76	Early-gen	mmp	HR2_76	HR2	76
Early-gen/results/mmp/HS3_118/alignment_results/HS3_118_marked.bam	Early-gen-HS3_118	Early-gen	mmp	HS3_118	HS3	118
Early-gen/results/mmp/HS3_15/alignment_results/HS3_15_marked.bam	Early-gen-HS3_15	Early-gen	mmp	HS3_15	HS3	15
Early-gen/results/mmp/HS3_45/alignment_results/HS3_45_marked.bam	Early-gen-HS3_45	Early-gen	mmp	HS3_45	HS3	45
Early-gen/results/mmp/HS3_76/alignment_results/HS3_76_marked.bam	Early-gen-HS3_76	Early-gen	mmp	HS3_76	HS3	76
Early-gen/results/mmp/UA3_118/alignment_results/UA3_118_marked.bam	Early-gen-UA3_118	Early-gen	mmp	UA3_118	UA3	118
Early-gen/results/mmp/UA3_15/alignment_results/UA3_15_marked.bam	Early-gen-UA3_15	Early-gen	mmp	UA3_15	UA3	15
Early-gen/results/mmp/UA3_45/alignment_results/UA3_45_marked.bam	Early-gen-UA3_45	Early-gen	mmp	UA3_45	UA3	45
