# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	16803	17573	+							MMP0007	771		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	16803	17573	+	CAF29563.1			Conserved hypothetical protein			MMP0007	771	256	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	17602	19359	-					DP1		MMP0008	1758		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	17602	19359	-	CAF29564.1			DNA polymerase, archaeal type II, small subunit	DP1		MMP0008	1758	585	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	19370	20488	-							MMP0009	1119		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	19370	20488	-	CAF29565.1			putative DNA primase large subunit			MMP0009	1119	372	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	20506	20931	-							MMP0010	426		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	20506	20931	-	CAF29566.1			Conserved hypothetical Archael protein			MMP0010	426	141	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	20974	22041	-							MMP0011	1068		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	20974	22041	-	CAF29567.1			C-5 cytosine-specific DNA methylase			MMP0011	1068	355	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	22111	22560	+							MMP0012	450		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	22111	22560	+	CAF29568.1			Conserved hypothetical protein			MMP0012	450	149	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	22602	24047	+					argH		MMP0013	1446		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	22602	24047	+	CAF29569.1			argininosuccinate lyase	argH		MMP0013	1446	481	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	24061	25230	-							MMP0014	1170		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	24061	25230	-	CAF29570.1			conserved hypothetical protein			MMP0014	1170	389	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	25243	26046	-							MMP0015	804		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	25243	26046	-	CAF29571.1			conserved hypothetical protein			MMP0015	804	267	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	26061	26552	-							MMP0016	492		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	26061	26552	-	CAF29572.1			Conserved hypothetical protein			MMP0016	492	163	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	26673	27725	-							MMP0017	1053		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	26673	27725	-	CAF29573.1			conserved hypothetical protein			MMP0017	1053	350	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	27798	28640	+							MMP0018	843		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	27798	28640	+	CAF29574.1			Transcriptional regulator, LysR Family Member			MMP0018	843	280	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	28670	28897	-							MMP0019	228		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	28670	28897	-	CAF29575.1			hypothetical protein			MMP0019	228	75	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	28989	29414	-							MMP0020	426		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	28989	29414	-	CAF29576.1			conserved hypothetical protein			MMP0020	426	141	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	29531	30406	+							MMP0021	876		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	29531	30406	+	CAF29577.1			conserved hypothetical archaeal protein			MMP0021	876	291	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	30411	30746	-							MMP0022	336		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	30411	30746	-	CAF29578.1			Conserved hypothetical protein			MMP0022	336	111	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	30743	31567	-							MMP0023	825		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	30743	31567	-	CAF29579.1			conserved hypothetical protein			MMP0023	825	274	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	31747	32862	+							MMP0024	1116		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	31747	32862	+	CAF29580.1			putative AAA superfamily ATPase, similar to FtsH			MMP0024	1116	371	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	32916	33188	-							MMP0025	273		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	32916	33188	-	CAF29581.1			hypothetical protein			MMP0025	273	90	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	33256	36651	-					DP2		MMP0026	3396		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	33256	36651	-	CAF29582.1			DNA-directed DNA polymerase II large subunit	DP2		MMP0026	3396	1131	
gene	misc_RNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	36828	37057	-					RNaseP RNA		RNA_45	230		
misc_RNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	36828	37057	-				RNA component of RNaseP	RNaseP RNA		RNA_45	230		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	37119	37233	-					rnnC5S		RNA_48	115		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	37119	37233	-				5S ribosomal RNA	rnnC5S		RNA_48	115		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	37295	40251	-					rrnC23S		RNA_42	2957		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	37295	40251	-				23S ribosomal RNA	rrnC23S		RNA_42	2957		
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	40358	40430	-					tRNA-Ala2		RNA_36	73		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	40358	40430	-				tRNA-Ala	tRNA-Ala2		RNA_36	73		
gene	rRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	40534	41925	-					rrnC16S		RNA_44	1392		
rRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	40534	41925	-				16S ribosomal RNA	rrnC16S		RNA_44	1392		
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	42181	43188	-							MMP0027	1008		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	42181	43188	-	CAF29583.1			putative potassium channel protein			MMP0027	1008	335	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	43261	44712	+							MMP0028	1452		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	43261	44712	+	CAF29584.1			cobyric acid synthase related protein			MMP0028	1452	483	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	44777	45415	-							MMP0029	639		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	44777	45415	-	CAF29585.1			conserved hypothetical archeal protein			MMP0029	639	212	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	45639	47657	+							MMP0030	2019		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	45639	47657	+	CAF29586.1			DNA replication protein; MCM family; putative			MMP0030	2019	672	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	47673	48755	+							MMP0031	1083		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	47673	48755	+	CAF29587.1			conserved hypothetical archeal protein			MMP0031	1083	360	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	49388	49909	-							MMP0032	522		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	49388	49909	-	CAF29588.1			ArsR family member			MMP0032	522	173	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	50520	51746	+							MMP0033	1227		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	50520	51746	+	CAF29589.1			LysR family member			MMP0033	1227	408	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	51767	52714	+							MMP0034	948		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	51767	52714	+	CAF29590.1			conserved hypothetical protein			MMP0034	948	315	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	52740	53789	+							MMP0035	1050		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	52740	53789	+	CAF29591.1			conserved hypothetical protein			MMP0035	1050	349	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	53793	54350	+					tfe		MMP0036	558		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	53793	54350	+	CAF29592.1			Transcription factor E	tfe		MMP0036	558	185	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	54361	54948	+							MMP0037	588		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	54361	54948	+	CAF29593.1			hypothetical protein; HD domain			MMP0037	588	195	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	54975	55871	-							MMP0038	897		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	54975	55871	-	CAF29594.1			conserved hypothetical protein			MMP0038	897	298	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	55876	56934	-							MMP0039	1059		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	55876	56934	-	CAF29595.1			conserved hypothetical protein			MMP0039	1059	352	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	56946	58595	-							MMP0040	1650		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	56946	58595	-	CAF29596.1			type II secretion system protein; putative; subunit 1			MMP0040	1650	549	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	58605	59624	-					tfb		MMP0041	1020		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	58605	59624	-	CAF29597.1			transcription initiation factor B	tfb		MMP0041	1020	339	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	59643	59924	-							MMP0042	282		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	59643	59924	-	CAF29598.1			conserved hypothetical protein			MMP0042	282	93	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	60428	61495	+							MMP0043	1068		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	60428	61495	+	CAF29599.1			isopentenyl-diphosphate delta-isomerase related protein			MMP0043	1068	355	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	61568	62914	+							MMP0044	1347		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	61568	62914	+	CAF29600.1			conserved hypothetical protein			MMP0044	1347	448	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	62928	63881	+					idsA		MMP0045	954		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	62928	63881	+	CAF29601.1			bifunctional short chain isoprenyl diphosphate synthase	idsA		MMP0045	954	317	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	63932	64384	+							MMP0046	453		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	63932	64384	+	CAF29602.1			conserved hypothetical protein			MMP0046	453	150	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	64389	65498	-							MMP0047	1110		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	64389	65498	-	CAF29603.1			conserved hypothetical protein			MMP0047	1110	369	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	65556	65828	+							MMP0048	273		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	65556	65828	+	CAF29604.1			conserved hypothetical protein			MMP0048	273	90	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	65867	66322	+							MMP0049	456		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	65867	66322	+	CAF29605.1			carbonic anhydrase (gamma family Zn(II)-dependent enzymes)			MMP0049	456	151	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	66371	66784	+							MMP0050	414		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	66371	66784	+	CAF29606.1			riboflavin synthase, beta subunit (6,7-dimethyl-8-ribityllumazine synthase)			MMP0050	414	137	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	66822	67112	+					hisE		MMP0051	291		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	66822	67112	+	CAF29607.1			Phosphoribosyl-ATP pyrophosphatase	hisE		MMP0051	291	96	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	67114	68025	-							MMP0052	912		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	67114	68025	-	CAF29608.1			Conserved Hypothetical protein with 2 CBS domains			MMP0052	912	303	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	68156	68896	-							MMP0053	741		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	68156	68896	-	CAF29609.1			Protein of unknown function DUF34			MMP0053	741	246	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	68893	69501	-							MMP0054	609		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	68893	69501	-	CAF29610.1			conserved hypothetical protein			MMP0054	609	202	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	69515	69994	-							MMP0055	480		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	69515	69994	-	CAF29611.1			Conserved hypothetical Archael protein			MMP0055	480	159	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	70102	71181	-					cofH		MMP0056	1080		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	70102	71181	-	CAF29612.1			FO synthase, subunit CofH	cofH		MMP0056	1080	359	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	71296	72372	-					cofH		MMP0057	1077		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	71296	72372	-	CAF29613.1			FO synthase, subunit CofH	cofH		MMP0057	1077	358	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	72602	73564	+					mer		MMP0058	963		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	72602	73564	+	CAF29614.1			coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin reductase	mer		MMP0058	963	320	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	73629	74051	-							MMP0059	423		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	73629	74051	-	CAF29615.1			conserved hypothetical archaeal protein			MMP0059	423	140	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	74160	74390	-							MMP0060	231		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	74160	74390	-	CAF29616.1			Ribosomal LX protein			MMP0060	231	76	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	74409	75092	-					aIF6		MMP0061	684		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	74409	75092	-	CAF29617.1			Translation initiation factor IF6	aIF6		MMP0061	684	227	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	75129	75380	-							MMP0062	252		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	75129	75380	-	CAF29618.1			Ribosomal protein L31e			MMP0062	252	83	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	75475	76359	+					argB		MMP0063	885		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	75475	76359	+	CAF29619.1			Acetylglutamate kinase	argB		MMP0063	885	294	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	76751	77089	+					glnK1		MMP0064	339		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	76751	77089	+	CAF29620.1			Nitrogen regulatory protein P-II	glnK1		MMP0064	339	112	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	77116	78342	+					amtB		MMP0065	1227		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	77116	78342	+	CAF29621.1			Ammonia transporter	amtB		MMP0065	1227	408	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	78446	78784	+					glnB		MMP0066	339		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	78446	78784	+	CAF29622.1			Nitrogen regulatory protein P-II	glnB		MMP0066	339	112	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	78986	79324	+					glnK2		MMP0067	339		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	78986	79324	+	CAF29623.1			Nitrogen regulatory protein P-II	glnK2		MMP0067	339	112	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	79353	80588	+					amtB		MMP0068	1236		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	79353	80588	+	CAF29624.1			Ammonia transporter	amtB		MMP0068	1236	411	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	80649	80948	+							MMP0069	300		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	80649	80948	+	CAF29625.1			methyltransferase			MMP0069	300	99	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	81202	82140	+							MMP0070	939		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	81202	82140	+	CAF29626.1			tungsten containing formylmethanofruran dehydrogenase subunit C-related protein			MMP0070	939	312	
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	82185	82258	-					tRNA-Thr2		RNA_35	74		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	82185	82258	-				tRNA-Thr	tRNA-Thr2		RNA_35	74		
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	82518	82593	+					tRNA-Gln1		RNA_1	76		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	82518	82593	+				tRNA-Gln	tRNA-Gln1		RNA_1	76		
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	82661	83734	-							MMP0071	1074		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	82661	83734	-	CAF29627.1			DNA primase, small subunit			MMP0071	1074	357	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	83849	84829	+							MMP0072	981		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	83849	84829	+	CAF29628.1			conserved archaeal protein			MMP0072	981	326	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	84962	86155	+					argG		MMP0073	1194		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	84962	86155	+	CAF29629.1			Argininosuccinate synthase	argG		MMP0073	1194	397	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	86225	86581	+							MMP0074	357		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	86225	86581	+	CAF29630.1			Conserved hypothetical Archael protein			MMP0074	357	118	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	86570	87538	-							MMP0075	969		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	86570	87538	-	CAF29631.1			conserved hypothetical protein			MMP0075	969	322	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	87608	87817	-							MMP0076	210		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	87608	87817	-	CAF29632.1			conserved hypothetical protein			MMP0076	210	69	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	87961	88689	+							MMP0077	729		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	87961	88689	+	CAF29633.1			conserved hypothetical protein			MMP0077	729	242	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	88705	89550	-							MMP0078	846		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	88705	89550	-	CAF29634.1			conserved hypothetical protein			MMP0078	846	281	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	89745	90362	+							MMP0079	618		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	89745	90362	+	CAF29635.1			Orotate phosphoribosyltransferase related protein			MMP0079	618	205	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	90509	91600	+							MMP0080	1092		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	90509	91600	+	CAF29636.1			glutamate synthase; large subunit; archaeal subunit 1			MMP0080	1092	363	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	91628	93160	+					gltB		MMP0081	1533		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	91628	93160	+	CAF29637.1			glutamate synthase; large subunit; archaeal subunit 2	gltB		MMP0081	1533	510	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	93160	93951	+							MMP0082	792		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	93160	93951	+	CAF29638.1			glutamate synthase; large subunit; archaeal subunit 3			MMP0082	792	263	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	93984	95063	+							MMP0083	1080		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	93984	95063	+	CAF29639.1			conserved archaeal protein			MMP0083	1080	359	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	95381	96094	-							MMP0084	714		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	95381	96094	-	CAF29640.1			conserved hypothetical protein			MMP0084	714	237	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	96131	97177	-							MMP0085	1047		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	96131	97177	-	CAF29641.1			conserved hypothetical protein			MMP0085	1047	348	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	97177	97641	-							MMP0086	465		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	97177	97641	-	CAF29642.1			LuxR family member			MMP0086	465	154	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	97761	98987	-					hmgA		MMP0087	1227		
