biosample_name	line	generation	experiment	epd	isolate	biosample_organism	description
HR2_1000_CI_05_M01	HR2	1000	Clonal-isolates	05	M01	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 05
UE3_1000_CI_09_D03	UE3	1000	Clonal-isolates	09	D03	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 09
UE3_1000_CI_10_M02	UE3	1000	Clonal-isolates	10	M02	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 10
UE3_1000_CI_09_D02	UE3	1000	Clonal-isolates	09	D02	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 09
HR2_1000_CI_01_D03	HR2	1000	Clonal-isolates	01	D03	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 01
HR2_1000_CI_01_D01	HR2	1000	Clonal-isolates	01	D01	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 01
HR2_1000_CI_10_M03	HR2	1000	Clonal-isolates	10	M03	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 10
UE3_1000_CI_02_M03	UE3	1000	Clonal-isolates	02	M03	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 02
HR2_1000_CI_05_D01	HR2	1000	Clonal-isolates	05	D01	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 05
UE3_1000_CI_09_M03	UE3	1000	Clonal-isolates	09	M03	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 09
HR2_1000_CI_05_D02	HR2	1000	Clonal-isolates	05	D02	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 05
UE3_1000_CI_03_M03	UE3	1000	Clonal-isolates	03	M03	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 03
UE3_1000_CI_03_D01	UE3	1000	Clonal-isolates	03	D01	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 03
UE3_1000_CI_03_M01	UE3	1000	Clonal-isolates	03	M01	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 03
HR2_1000_CI_01_D02	HR2	1000	Clonal-isolates	01	D02	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 01
UE3_1000_CI_10_M03	UE3	1000	Clonal-isolates	10	M03	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 10
HR2_1000_CI_05_M03	HR2	1000	Clonal-isolates	05	M03	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M03 of EPD 05
HR2_1000_CI_10_D01	HR2	1000	Clonal-isolates	10	D01	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D01 of EPD 10
UE3_1000_CI_03_D03	UE3	1000	Clonal-isolates	03	D03	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 03
UE3_1000_CI_03_D03	UE3	1000	Clonal-isolates	03	D03	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate D03 of EPD 03
UE3_1000_CI_03_M02	UE3	1000	Clonal-isolates	03	M02	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 03
HR2_1000_CI_10_D03	HR2	1000	Clonal-isolates	10	D03	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 10
UE3_1000_CI_03_D02	UE3	1000	Clonal-isolates	03	D02	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D02 of EPD 03
HR2_1000_CI_01_M01	HR2	1000	Clonal-isolates	01	M01	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 01
UE3_1000_CI_09_M01	UE3	1000	Clonal-isolates	09	M01	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 09
HR2_1000_CI_01_M02	HR2	1000	Clonal-isolates	01	M02	Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M02 of EPD 01
UE3_1000_CI_02_D03	UE3	1000	Clonal-isolates	02	D03	Desulfovibrio vulgaris str. Hildenborough	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough at generation 1000 for clonal isolate D03 of EPD 02
UE3_1000_CI_02_M01	UE3	1000	Clonal-isolates	02	M01	Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Methanococcus maripaludis S2 at generation 1000 for clonal isolate M01 of EPD 02
HR2_1000_EPD_01	HR2	1000	EPD	01	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 01
HR2_1000_EPD_05	HR2	1000	EPD	05	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 05
HR2_1000_EPD_10	HR2	1000	EPD	10	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 10
UE3_1000_EPD_03	UE3	1000	EPD	03	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 03
UE3_1000_EPD_09	UE3	1000	EPD	09	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 09
UE3_1000_EPD_10	UE3	1000	EPD	10	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 coculture at generation 1000 for EPD 10
HA3_780_EG	HA3	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
HA3_100_EG	HA3	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
HA3_300_EG	HA3	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
HA3_500_EG	HA3	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
HE3_780_EG	HE3	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
HE3_100_EG	HE3	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
HE3_300_EG	HE3	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
HE3_500_EG	HE3	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
HR2_780_EG	HR2	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
HR2_100_EG	HR2	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
HR2_300_EG	HR2	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
HR2_500_EG	HR2	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HR2 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
HS3_780_EG	HS3	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HS3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
HS3_100_EG	HS3	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HS3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
HS3_300_EG	HS3	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HS3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
HS3_500_EG	HS3	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from HS3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
UA3_780_EG	UA3	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
UA3_100_EG	UA3	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
UA3_300_EG	UA3	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
UA3_500_EG	UA3	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UA3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
UE3_780_EG	UE3	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
UE3_100_EG	UE3	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
UE3_300_EG	UE3	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
UE3_500_EG	UE3	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UE3 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
UR1_780_EG	UR1	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UR1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
UR1_100_EG	UR1	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UR1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
UR1_300_EG	UR1	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UR1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
UR1_500_EG	UR1	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from UR1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
US1_780_EG	US1	780	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from US1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 780
US1_100_EG	US1	100	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from US1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 100
US1_300_EG	US1	300	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from US1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 300
US1_500_EG	US1	500	Early-gen	NA	NA	Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2	Genomic DNA collected from US1 of Desulfovibrio vulgaris str. Hildenborough - Methanococcus maripaludis S2 co-culture at generation 500
