File.x	sample.id	experiment.x	sample.x	no.x	tmp1.x	File.y	experiment.y	sample.y	no.y	tmp1.y
1000-gen/data/UE2/UE2_S1_L001_R1_001.fastq	1000-gen-UE2	1000-gen	UE2	UE2	NA	1000-gen/data/UE2/UE2_S1_L001_R2_001.fastq	1000-gen	UE2	UE2	NA
1000-gen/data/UE3/UE3_S2_L001_R1_001.fastq	1000-gen-UE3	1000-gen	UE3	UE3	NA	1000-gen/data/UE3/UE3_S2_L001_R2_001.fastq	1000-gen	UE3	UE3	NA
1000-gen/data/UE3.2/UE3.2_S2_L006_R1_001.fastq	1000-gen-UE3.2	1000-gen	UE3.2	UE3.2	NA	1000-gen/data/UE3.2/UE3.2_S2_L006_R2_001.fastq	1000-gen	UE3.2	UE3.2	NA
1000-gen/data/UR1/UR1_S4_L001_R1_001.fastq	1000-gen-UR1	1000-gen	UR1	UR1	NA	1000-gen/data/UR1/UR1_S4_L001_R2_001.fastq	1000-gen	UR1	UR1	NA
1000-gen/data/US1/US1_S5_L001_R1_001.fastq	1000-gen-US1	1000-gen	US1	US1	NA	1000-gen/data/US1/US1_S5_L001_R2_001.fastq	1000-gen	US1	US1	NA
Ancestors/Coculture-Ancestor/Ancestor_1.fastq	Ancestors-Coculture-Ancestor	Ancestors	Coculture-Ancestor	Coculture-Ancestor	NA	Ancestors/Coculture-Ancestor/Ancestor_2.fastq	Ancestors	Coculture-Ancestor	Coculture-Ancestor	NA
Ancestors/Dv-Ancestor-1/D1_1.fastq	Ancestors-Dv-Ancestor-1	Ancestors	Dv-Ancestor-1	Dv-Ancestor-1	NA	Ancestors/Dv-Ancestor-1/D1_2.fastq	Ancestors	Dv-Ancestor-1	Dv-Ancestor-1	NA
Ancestors/Dv-Ancestor-2/D2_1.fastq	Ancestors-Dv-Ancestor-2	Ancestors	Dv-Ancestor-2	Dv-Ancestor-2	NA	Ancestors/Dv-Ancestor-2/D2_2.fastq	Ancestors	Dv-Ancestor-2	Dv-Ancestor-2	NA
Ancestors/Mm-Ancestor-1/M1_1.fastq	Ancestors-Mm-Ancestor-1	Ancestors	Mm-Ancestor-1	Mm-Ancestor-1	NA	Ancestors/Mm-Ancestor-1/M1_2.fastq	Ancestors	Mm-Ancestor-1	Mm-Ancestor-1	NA
Ancestors/Mm-Ancestor-2/M2_1.fastq	Ancestors-Mm-Ancestor-2	Ancestors	Mm-Ancestor-2	Mm-Ancestor-2	NA	Ancestors/Mm-Ancestor-2/M2_2.fastq	Ancestors	Mm-Ancestor-2	Mm-Ancestor-2	NA
Clonal-isolates/data/00_S7/00_S7_R1_001.fastq.gz	Clonal-isolates-00_S7	Clonal-isolates	00_S7	00	S7	Clonal-isolates/data/00_S7/00_S7_R2_001.fastq.gz	Clonal-isolates	00_S7	00	S7
Clonal-isolates/data/10_S54/10_S54_R1_001.fastq.gz	Clonal-isolates-HA2.152.09.D01	Clonal-isolates	HA2.152.09.D01	10	S54	Clonal-isolates/data/10_S54/10_S54_R2_001.fastq.gz	Clonal-isolates	HA2.152.09.D01	10	S54
Clonal-isolates/data/10_S54/10_S54_R1_001.fastq.gz	Clonal-isolates-UA3.152.09.M02	Clonal-isolates	UA3.152.09.M02	10	S54	Clonal-isolates/data/10_S54/10_S54_R2_001.fastq.gz	Clonal-isolates	UA3.152.09.M02	10	S54
Clonal-isolates/data/11_S55/11_S55_R1_001.fastq.gz	Clonal-isolates-UA3.152.10.D02	Clonal-isolates	UA3.152.10.D02	11	S55	Clonal-isolates/data/11_S55/11_S55_R2_001.fastq.gz	Clonal-isolates	UA3.152.10.D02	11	S55
Clonal-isolates/data/11_S55/11_S55_R1_001.fastq.gz	Clonal-isolates-HR2.152.10.M02	Clonal-isolates	HR2.152.10.M02	11	S55	Clonal-isolates/data/11_S55/11_S55_R2_001.fastq.gz	Clonal-isolates	HR2.152.10.M02	11	S55
Clonal-isolates/data/12_S56/12_S56_R1_001.fastq.gz	Clonal-isolates-UA3.152.02.D02	Clonal-isolates	UA3.152.02.D02	12	S56	Clonal-isolates/data/12_S56/12_S56_R2_001.fastq.gz	Clonal-isolates	UA3.152.02.D02	12	S56
Clonal-isolates/data/12_S56/12_S56_R1_001.fastq.gz	Clonal-isolates-UA3.152.02.M02	Clonal-isolates	UA3.152.02.M02	12	S56	Clonal-isolates/data/12_S56/12_S56_R2_001.fastq.gz	Clonal-isolates	UA3.152.02.M02	12	S56
Clonal-isolates/data/13_S57/13_S57_R1_001.fastq.gz	Clonal-isolates-UA3.152.09.D01	Clonal-isolates	UA3.152.09.D01	13	S57	Clonal-isolates/data/13_S57/13_S57_R2_001.fastq.gz	Clonal-isolates	UA3.152.09.D01	13	S57
Clonal-isolates/data/13_S57/13_S57_R1_001.fastq.gz	Clonal-isolates-Mp W152 WT.M02	Clonal-isolates	Mp W152 WT.M02	13	S57	Clonal-isolates/data/13_S57/13_S57_R2_001.fastq.gz	Clonal-isolates	Mp W152 WT.M02	13	S57
Clonal-isolates/data/14_S58/14_S58_R1_001.fastq.gz	Clonal-isolates-UA3.152.10.D03	Clonal-isolates	UA3.152.10.D03	14	S58	Clonal-isolates/data/14_S58/14_S58_R2_001.fastq.gz	Clonal-isolates	UA3.152.10.D03	14	S58
Clonal-isolates/data/14_S58/14_S58_R1_001.fastq.gz	Clonal-isolates-HR2.152.05.M02	Clonal-isolates	HR2.152.05.M02	14	S58	Clonal-isolates/data/14_S58/14_S58_R2_001.fastq.gz	Clonal-isolates	HR2.152.05.M02	14	S58
Clonal-isolates/data/15_S59/15_S59_R1_001.fastq.gz	Clonal-isolates-HA2.152.02.D01	Clonal-isolates	HA2.152.02.D01	15	S59	Clonal-isolates/data/15_S59/15_S59_R2_001.fastq.gz	Clonal-isolates	HA2.152.02.D01	15	S59
Clonal-isolates/data/15_S59/15_S59_R1_001.fastq.gz	Clonal-isolates-HA2.152.05.M02	Clonal-isolates	HA2.152.05.M02	15	S59	Clonal-isolates/data/15_S59/15_S59_R2_001.fastq.gz	Clonal-isolates	HA2.152.05.M02	15	S59
Clonal-isolates/data/16_S60/16_S60_R1_001.fastq.gz	Clonal-isolates-HR2.152.10.D02	Clonal-isolates	HR2.152.10.D02	16	S60	Clonal-isolates/data/16_S60/16_S60_R2_001.fastq.gz	Clonal-isolates	HR2.152.10.D02	16	S60
Clonal-isolates/data/16_S60/16_S60_R1_001.fastq.gz	Clonal-isolates-HR2.152.01.M03	Clonal-isolates	HR2.152.01.M03	16	S60	Clonal-isolates/data/16_S60/16_S60_R2_001.fastq.gz	Clonal-isolates	HR2.152.01.M03	16	S60
Clonal-isolates/data/17_S61/17_S61_R1_001.fastq.gz	Clonal-isolates-HA2.152.08.D03	Clonal-isolates	HA2.152.08.D03	17	S61	Clonal-isolates/data/17_S61/17_S61_R2_001.fastq.gz	Clonal-isolates	HA2.152.08.D03	17	S61
Clonal-isolates/data/17_S61/17_S61_R1_001.fastq.gz	Clonal-isolates-HR2.152.10.M01	Clonal-isolates	HR2.152.10.M01	17	S61	Clonal-isolates/data/17_S61/17_S61_R2_001.fastq.gz	Clonal-isolates	HR2.152.10.M01	17	S61
Clonal-isolates/data/18_S62/18_S62_R1_001.fastq.gz	Clonal-isolates-UA3.152.02.D01	Clonal-isolates	UA3.152.02.D01	18	S62	Clonal-isolates/data/18_S62/18_S62_R2_001.fastq.gz	Clonal-isolates	UA3.152.02.D01	18	S62
Clonal-isolates/data/18_S62/18_S62_R1_001.fastq.gz	Clonal-isolates-HA2.152.05.M03	Clonal-isolates	HA2.152.05.M03	18	S62	Clonal-isolates/data/18_S62/18_S62_R2_001.fastq.gz	Clonal-isolates	HA2.152.05.M03	18	S62
Clonal-isolates/data/19_S63/19_S63_R1_001.fastq.gz	Clonal-isolates-HR2.152.05.D03	Clonal-isolates	HR2.152.05.D03	19	S63	Clonal-isolates/data/19_S63/19_S63_R2_001.fastq.gz	Clonal-isolates	HR2.152.05.D03	19	S63
Clonal-isolates/data/19_S63/19_S63_R1_001.fastq.gz	Clonal-isolates-HR2.152.05.M01	Clonal-isolates	HR2.152.05.M01	19	S63	Clonal-isolates/data/19_S63/19_S63_R2_001.fastq.gz	Clonal-isolates	HR2.152.05.M01	19	S63
Clonal-isolates/data/20_S64/20_S64_R1_001.fastq.gz	Clonal-isolates-UA3.152.09.D03	Clonal-isolates	UA3.152.09.D03	20	S64	Clonal-isolates/data/20_S64/20_S64_R2_001.fastq.gz	Clonal-isolates	UA3.152.09.D03	20	S64
Clonal-isolates/data/20_S64/20_S64_R1_001.fastq.gz	Clonal-isolates-UA3.152.10.M02	Clonal-isolates	UA3.152.10.M02	20	S64	Clonal-isolates/data/20_S64/20_S64_R2_001.fastq.gz	Clonal-isolates	UA3.152.10.M02	20	S64
Clonal-isolates/data/21_S65/21_S65_R1_001.fastq.gz	Clonal-isolates-UA3.152.09.D02	Clonal-isolates	UA3.152.09.D02	21	S65	Clonal-isolates/data/21_S65/21_S65_R2_001.fastq.gz	Clonal-isolates	UA3.152.09.D02	21	S65
Clonal-isolates/data/21_S65/21_S65_R1_001.fastq.gz	Clonal-isolates-HA2.152.09.M03	Clonal-isolates	HA2.152.09.M03	21	S65	Clonal-isolates/data/21_S65/21_S65_R2_001.fastq.gz	Clonal-isolates	HA2.152.09.M03	21	S65
Clonal-isolates/data/22_S66/22_S66_R1_001.fastq.gz	Clonal-isolates-HR2.152.01.D03	Clonal-isolates	HR2.152.01.D03	22	S66	Clonal-isolates/data/22_S66/22_S66_R2_001.fastq.gz	Clonal-isolates	HR2.152.01.D03	22	S66
Clonal-isolates/data/22_S66/22_S66_R1_001.fastq.gz	Clonal-isolates-HA2.152.01.M01	Clonal-isolates	HA2.152.01.M01	22	S66	Clonal-isolates/data/22_S66/22_S66_R2_001.fastq.gz	Clonal-isolates	HA2.152.01.M01	22	S66
Clonal-isolates/data/23_S67/23_S67_R1_001.fastq.gz	Clonal-isolates-HA2.152.09.D03	Clonal-isolates	HA2.152.09.D03	23	S67	Clonal-isolates/data/23_S67/23_S67_R2_001.fastq.gz	Clonal-isolates	HA2.152.09.D03	23	S67
Clonal-isolates/data/23_S67/23_S67_R1_001.fastq.gz	Clonal-isolates-HA2.152.09.M01	Clonal-isolates	HA2.152.09.M01	23	S67	Clonal-isolates/data/23_S67/23_S67_R2_001.fastq.gz	Clonal-isolates	HA2.152.09.M01	23	S67
Clonal-isolates/data/24_S68/24_S68_R1_001.fastq.gz	Clonal-isolates-HR2.152.01.D01	Clonal-isolates	HR2.152.01.D01	24	S68	Clonal-isolates/data/24_S68/24_S68_R2_001.fastq.gz	Clonal-isolates	HR2.152.01.D01	24	S68
Clonal-isolates/data/24_S68/24_S68_R1_001.fastq.gz	Clonal-isolates-HR2.152.10.M03	Clonal-isolates	HR2.152.10.M03	24	S68	Clonal-isolates/data/24_S68/24_S68_R2_001.fastq.gz	Clonal-isolates	HR2.152.10.M03	24	S68
Clonal-isolates/data/25_S69/25_S69_R1_001.fastq.gz	Clonal-isolates-HA2.152.02.D03	Clonal-isolates	HA2.152.02.D03	25	S69	Clonal-isolates/data/25_S69/25_S69_R2_001.fastq.gz	Clonal-isolates	HA2.152.02.D03	25	S69
Clonal-isolates/data/25_S69/25_S69_R1_001.fastq.gz	Clonal-isolates-UA3.152.02.M03	Clonal-isolates	UA3.152.02.M03	25	S69	Clonal-isolates/data/25_S69/25_S69_R2_001.fastq.gz	Clonal-isolates	UA3.152.02.M03	25	S69
Clonal-isolates/data/26_S70/26_S70_R1_001.fastq.gz	Clonal-isolates-HA2.152.01.D01	Clonal-isolates	HA2.152.01.D01	26	S70	Clonal-isolates/data/26_S70/26_S70_R2_001.fastq.gz	Clonal-isolates	HA2.152.01.D01	26	S70
Clonal-isolates/data/26_S70/26_S70_R1_001.fastq.gz	Clonal-isolates-HA2.152.08.M01	Clonal-isolates	HA2.152.08.M01	26	S70	Clonal-isolates/data/26_S70/26_S70_R2_001.fastq.gz	Clonal-isolates	HA2.152.08.M01	26	S70
Clonal-isolates/data/27_S71/27_S71_R1_001.fastq.gz	Clonal-isolates-HR2.152.05.D01	Clonal-isolates	HR2.152.05.D01	27	S71	Clonal-isolates/data/27_S71/27_S71_R2_001.fastq.gz	Clonal-isolates	HR2.152.05.D01	27	S71
Clonal-isolates/data/27_S71/27_S71_R1_001.fastq.gz	Clonal-isolates-UA3.152.09.M03	Clonal-isolates	UA3.152.09.M03	27	S71	Clonal-isolates/data/27_S71/27_S71_R2_001.fastq.gz	Clonal-isolates	UA3.152.09.M03	27	S71
Clonal-isolates/data/28_S72/28_S72_R1_001.fastq.gz	Clonal-isolates-HR2.152.05.D02	Clonal-isolates	HR2.152.05.D02	28	S72	Clonal-isolates/data/28_S72/28_S72_R2_001.fastq.gz	Clonal-isolates	HR2.152.05.D02	28	S72
Clonal-isolates/data/28_S72/28_S72_R1_001.fastq.gz	Clonal-isolates-HA2.152.01.M03	Clonal-isolates	HA2.152.01.M03	28	S72	Clonal-isolates/data/28_S72/28_S72_R2_001.fastq.gz	Clonal-isolates	HA2.152.01.M03	28	S72
Clonal-isolates/data/29_S73/29_S73_R1_001.fastq.gz	Clonal-isolates-HA2.152.08.D01	Clonal-isolates	HA2.152.08.D01	29	S73	Clonal-isolates/data/29_S73/29_S73_R2_001.fastq.gz	Clonal-isolates	HA2.152.08.D01	29	S73
Clonal-isolates/data/29_S73/29_S73_R1_001.fastq.gz	Clonal-isolates-UA3.152.03.M03	Clonal-isolates	UA3.152.03.M03	29	S73	Clonal-isolates/data/29_S73/29_S73_R2_001.fastq.gz	Clonal-isolates	UA3.152.03.M03	29	S73
Clonal-isolates/data/2_S46/2_S46_R1_001.fastq.gz	Clonal-isolates-UA3.152.03.D01	Clonal-isolates	UA3.152.03.D01	2	S46	Clonal-isolates/data/2_S46/2_S46_R2_001.fastq.gz	Clonal-isolates	UA3.152.03.D01	2	S46
Clonal-isolates/data/2_S46/2_S46_R1_001.fastq.gz	Clonal-isolates-HA2.152.09.M02	Clonal-isolates	HA2.152.09.M02	2	S46	Clonal-isolates/data/2_S46/2_S46_R2_001.fastq.gz	Clonal-isolates	HA2.152.09.M02	2	S46
Clonal-isolates/data/30_S74/30_S74_R1_001.fastq.gz	Clonal-isolates-DvH 152 WT.D01	Clonal-isolates	DvH 152 WT.D01	30	S74	Clonal-isolates/data/30_S74/30_S74_R2_001.fastq.gz	Clonal-isolates	DvH 152 WT.D01	30	S74
Clonal-isolates/data/30_S74/30_S74_R1_001.fastq.gz	Clonal-isolates-HA2.152.01.M02	Clonal-isolates	HA2.152.01.M02	30	S74	Clonal-isolates/data/30_S74/30_S74_R2_001.fastq.gz	Clonal-isolates	HA2.152.01.M02	30	S74
Clonal-isolates/data/31_S75/31_S75_R1_001.fastq.gz	Clonal-isolates-HA2.152.02.D02	Clonal-isolates	HA2.152.02.D02	31	S75	Clonal-isolates/data/31_S75/31_S75_R2_001.fastq.gz	Clonal-isolates	HA2.152.02.D02	31	S75
Clonal-isolates/data/31_S75/31_S75_R1_001.fastq.gz	Clonal-isolates-UA3.152.03.M01	Clonal-isolates	UA3.152.03.M01	31	S75	Clonal-isolates/data/31_S75/31_S75_R2_001.fastq.gz	Clonal-isolates	UA3.152.03.M01	31	S75
Clonal-isolates/data/32_S76/32_S76_R1_001.fastq.gz	Clonal-isolates-HA2.152.05.D03	Clonal-isolates	HA2.152.05.D03	32	S76	Clonal-isolates/data/32_S76/32_S76_R2_001.fastq.gz	Clonal-isolates	HA2.152.05.D03	32	S76
Clonal-isolates/data/32_S76/32_S76_R1_001.fastq.gz	Clonal-isolates-UA3.152.10.M01	Clonal-isolates	UA3.152.10.M01	32	S76	Clonal-isolates/data/32_S76/32_S76_R2_001.fastq.gz	Clonal-isolates	UA3.152.10.M01	32	S76
Clonal-isolates/data/33_S77/33_S77_R1_001.fastq.gz	Clonal-isolates-HR2.152.01.D02	Clonal-isolates	HR2.152.01.D02	33	S77	Clonal-isolates/data/33_S77/33_S77_R2_001.fastq.gz	Clonal-isolates	HR2.152.01.D02	33	S77
Clonal-isolates/data/33_S77/33_S77_R1_001.fastq.gz	Clonal-isolates-HA2.152.05.M01	Clonal-isolates	HA2.152.05.M01	33	S77	Clonal-isolates/data/33_S77/33_S77_R2_001.fastq.gz	Clonal-isolates	HA2.152.05.M01	33	S77
Clonal-isolates/data/34_S78/34_S78_R1_001.fastq.gz	Clonal-isolates-HA2.152.09.D02	Clonal-isolates	HA2.152.09.D02	34	S78	Clonal-isolates/data/34_S78/34_S78_R2_001.fastq.gz	Clonal-isolates	HA2.152.09.D02	34	S78
Clonal-isolates/data/34_S78/34_S78_R1_001.fastq.gz	Clonal-isolates-UA3.152.10.M03	Clonal-isolates	UA3.152.10.M03	34	S78	Clonal-isolates/data/34_S78/34_S78_R2_001.fastq.gz	Clonal-isolates	UA3.152.10.M03	34	S78
Clonal-isolates/data/35_S79/35_S79_R1_001.fastq.gz	Clonal-isolates-HA2.152.08.D02	Clonal-isolates	HA2.152.08.D02	35	S79	Clonal-isolates/data/35_S79/35_S79_R2_001.fastq.gz	Clonal-isolates	HA2.152.08.D02	35	S79
Clonal-isolates/data/35_S79/35_S79_R1_001.fastq.gz	Clonal-isolates-HR2.152.05.M03	Clonal-isolates	HR2.152.05.M03	35	S79	Clonal-isolates/data/35_S79/35_S79_R2_001.fastq.gz	Clonal-isolates	HR2.152.05.M03	35	S79
Clonal-isolates/data/36_S80/36_S80_R1_001.fastq.gz	Clonal-isolates-HR2.152.10.D01	Clonal-isolates	HR2.152.10.D01	36	S80	Clonal-isolates/data/36_S80/36_S80_R2_001.fastq.gz	Clonal-isolates	HR2.152.10.D01	36	S80
Clonal-isolates/data/37_S81/37_S81_R1_001.fastq.gz	Clonal-isolates-UA3.152.03.D03	Clonal-isolates	UA3.152.03.D03	37	S81	Clonal-isolates/data/37_S81/37_S81_R2_001.fastq.gz	Clonal-isolates	UA3.152.03.D03	37	S81
Clonal-isolates/data/3_S47/3_S47_R1_001.fastq.gz	Clonal-isolates-HA2.152.01.D02	Clonal-isolates	HA2.152.01.D02	3	S47	Clonal-isolates/data/3_S47/3_S47_R2_001.fastq.gz	Clonal-isolates	HA2.152.01.D02	3	S47
Clonal-isolates/data/3_S47/3_S47_R1_001.fastq.gz	Clonal-isolates-UA3.152.03.M02	Clonal-isolates	UA3.152.03.M02	3	S47	Clonal-isolates/data/3_S47/3_S47_R2_001.fastq.gz	Clonal-isolates	UA3.152.03.M02	3	S47
Clonal-isolates/data/4_S48/4_S48_R1_001.fastq.gz	Clonal-isolates-HA2.152.01.D03	Clonal-isolates	HA2.152.01.D03	4	S48	Clonal-isolates/data/4_S48/4_S48_R2_001.fastq.gz	Clonal-isolates	HA2.152.01.D03	4	S48
Clonal-isolates/data/4_S48/4_S48_R1_001.fastq.gz	Clonal-isolates-HA2.152.08.M03	Clonal-isolates	HA2.152.08.M03	4	S48	Clonal-isolates/data/4_S48/4_S48_R2_001.fastq.gz	Clonal-isolates	HA2.152.08.M03	4	S48
Clonal-isolates/data/5_S49/5_S49_R1_001.fastq.gz	Clonal-isolates-HR2.152.10.D03	Clonal-isolates	HR2.152.10.D03	5	S49	Clonal-isolates/data/5_S49/5_S49_R2_001.fastq.gz	Clonal-isolates	HR2.152.10.D03	5	S49
Clonal-isolates/data/5_S49/5_S49_R1_001.fastq.gz	Clonal-isolates-Mp W152 WT.M01	Clonal-isolates	Mp W152 WT.M01	5	S49	Clonal-isolates/data/5_S49/5_S49_R2_001.fastq.gz	Clonal-isolates	Mp W152 WT.M01	5	S49
Clonal-isolates/data/6_S50/6_S50_R1_001.fastq.gz	Clonal-isolates-UA3.152.03.D02	Clonal-isolates	UA3.152.03.D02	6	S50	Clonal-isolates/data/6_S50/6_S50_R2_001.fastq.gz	Clonal-isolates	UA3.152.03.D02	6	S50
Clonal-isolates/data/6_S50/6_S50_R1_001.fastq.gz	Clonal-isolates-HR2.152.01.M01	Clonal-isolates	HR2.152.01.M01	6	S50	Clonal-isolates/data/6_S50/6_S50_R2_001.fastq.gz	Clonal-isolates	HR2.152.01.M01	6	S50
Clonal-isolates/data/7_S51/7_S51_R1_001.fastq.gz	Clonal-isolates-HA2.152.05.D01	Clonal-isolates	HA2.152.05.D01	7	S51	Clonal-isolates/data/7_S51/7_S51_R2_001.fastq.gz	Clonal-isolates	HA2.152.05.D01	7	S51
Clonal-isolates/data/7_S51/7_S51_R1_001.fastq.gz	Clonal-isolates-UA3.152.09.M01	Clonal-isolates	UA3.152.09.M01	7	S51	Clonal-isolates/data/7_S51/7_S51_R2_001.fastq.gz	Clonal-isolates	UA3.152.09.M01	7	S51
Clonal-isolates/data/8_S52/8_S52_R1_001.fastq.gz	Clonal-isolates-UA3.152.10.D01	Clonal-isolates	UA3.152.10.D01	8	S52	Clonal-isolates/data/8_S52/8_S52_R2_001.fastq.gz	Clonal-isolates	UA3.152.10.D01	8	S52
Clonal-isolates/data/8_S52/8_S52_R1_001.fastq.gz	Clonal-isolates-HR2.152.01.M02	Clonal-isolates	HR2.152.01.M02	8	S52	Clonal-isolates/data/8_S52/8_S52_R2_001.fastq.gz	Clonal-isolates	HR2.152.01.M02	8	S52
Clonal-isolates/data/9_S53/9_S53_R1_001.fastq.gz	Clonal-isolates-UA3.152.02.D03	Clonal-isolates	UA3.152.02.D03	9	S53	Clonal-isolates/data/9_S53/9_S53_R2_001.fastq.gz	Clonal-isolates	UA3.152.02.D03	9	S53
Clonal-isolates/data/9_S53/9_S53_R1_001.fastq.gz	Clonal-isolates-UA3.152.02.M01	Clonal-isolates	UA3.152.02.M01	9	S53	Clonal-isolates/data/9_S53/9_S53_R2_001.fastq.gz	Clonal-isolates	UA3.152.02.M01	9	S53
EPD/data/HR2_01/HR2-01_S3_L001_R1_001.fastq	EPD-HR2_01	EPD	HR2_01	HR2	01	EPD/data/HR2_01/HR2-01_S3_L001_R2_001.fastq	EPD	HR2_01	HR2	01
EPD/data/HR2_05/HR2-05_S4_L001_R1_001.fastq	EPD-HR2_05	EPD	HR2_05	HR2	05	EPD/data/HR2_05/HR2-05_S4_L001_R2_001.fastq	EPD	HR2_05	HR2	05
EPD/data/HR2_10/HR2-10_S4_L001_R1_001.fastq	EPD-HR2_10	EPD	HR2_10	HR2	10	EPD/data/HR2_10/HR2-10_S4_L001_R2_001.fastq	EPD	HR2_10	HR2	10
EPD/data/UE3_03/UE3-03_S2_L001_R1_001.fastq	EPD-UE3_03	EPD	UE3_03	UE3	03	EPD/data/UE3_03/UE3-03_S2_L001_R2_001.fastq	EPD	UE3_03	UE3	03
EPD/data/UE3_09/UE3-09_S5_L001_R1_001.fastq	EPD-UE3_09	EPD	UE3_09	UE3	09	EPD/data/UE3_09/UE3-09_S5_L001_R2_001.fastq	EPD	UE3_09	UE3	09
EPD/data/UE3_10/UE3-10_S3_L001_R1_001.fastq	EPD-UE3_10	EPD	UE3_10	UE3	10	EPD/data/UE3_10/UE3-10_S3_L001_R2_001.fastq	EPD	UE3_10	UE3	10
Early-gen/data/HA2_118/HA2-118_R1.fastq	Early-gen-HA2_118	Early-gen	HA2_118	HA2	118	Early-gen/data/HA2_118/HA2-118_R2.fastq	Early-gen	HA2_118	HA2	118
Early-gen/data/HA2_15/HA2-15_R1.fastq.gz	Early-gen-HA2_15	Early-gen	HA2_15	HA2	15	Early-gen/data/HA2_15/HA2-15_R2.fastq.gz	Early-gen	HA2_15	HA2	15
Early-gen/data/HA2_45/HA2-45_R1.fastq.gz	Early-gen-HA2_45	Early-gen	HA2_45	HA2	45	Early-gen/data/HA2_45/HA2-45_R2.fastq.gz	Early-gen	HA2_45	HA2	45
Early-gen/data/HA2_76/HA2-76_R1.fastq.gz	Early-gen-HA2_76	Early-gen	HA2_76	HA2	76	Early-gen/data/HA2_76/HA2-76_R2.fastq.gz	Early-gen	HA2_76	HA2	76
Early-gen/data/HA3_118.Early/HA3-118.1_R1.fastq	Early-gen-HA3_118.Early	Early-gen	HA3_118.Early	HA3	118.Early	Early-gen/data/HA3_118.Early/HA3-118.1_R2.fastq	Early-gen	HA3_118.Early	HA3	118.Early
Early-gen/data/HA3_118.New/HA3-118.2_R1.fastq	Early-gen-HA3_118.New	Early-gen	HA3_118.New	HA3	118.New	Early-gen/data/HA3_118.New/HA3-118.2_R2.fastq	Early-gen	HA3_118.New	HA3	118.New
Early-gen/data/HA3_15/HA3-15_1.fastq	Early-gen-HA3_15	Early-gen	HA3_15	HA3	15	Early-gen/data/HA3_15/HA3-15_2.fastq	Early-gen	HA3_15	HA3	15
Early-gen/data/HA3_45/HA3-45_R1.fastq	Early-gen-HA3_45	Early-gen	HA3_45	HA3	45	Early-gen/data/HA3_45/HA3-45_R2.fastq	Early-gen	HA3_45	HA3	45
Early-gen/data/HA3_76/HA3-76_1.fastq	Early-gen-HA3_76	Early-gen	HA3_76	HA3	76	Early-gen/data/HA3_76/HA3-76_2.fastq	Early-gen	HA3_76	HA3	76
Early-gen/data/HE3_118/HE3-118_R1.fastq	Early-gen-HE3_118	Early-gen	HE3_118	HE3	118	Early-gen/data/HE3_118/HE3-118_R2.fastq	Early-gen	HE3_118	HE3	118
