# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	27468	27638	+						2793531	DVU0024	171		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	27468	27638	+	YP_009249.1	WP_010937335.1		hypothetical protein		2793531	DVU0024	171	56	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	27714	29873	-						2793532	DVU0025	2160		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	27714	29873	-	YP_009250.1	WP_010937336.1		sensory box histidine kinase		2793532	DVU0025	2160	719	
gene	tRNA	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	30047	30122	+						2796781	DVU_tRNA-Ala-2	76		
tRNA		GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	30047	30122	+				tRNA-Ala		2796781	DVU_tRNA-Ala-2	76		
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	30487	31059	+						2796782	DVU0026	573		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	30487	31059	+	YP_009251.1	WP_010937337.1		hypothetical protein		2796782	DVU0026	573	190	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	31278	32702	-						2794135	DVU0027	1425		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	31278	32702	-	YP_009252.1	WP_010937338.1		hypothetical protein		2794135	DVU0027	1425	474	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	33232	33609	+					csaA	2794136	DVU0028	378		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	33232	33609	+	YP_009253.1	WP_010937339.1		chaperone CsaA	csaA	2794136	DVU0028	378	125	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	33986	35698	+						2793647	DVU0029	1713		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	33986	35698	+	YP_009254.1	WP_010937340.1		hydantoinase/oxoprolinase		2793647	DVU0029	1713	570	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	35979	36176	+						9714863	DVU4013	198		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	35979	36176	+	YP_003858602.1	WP_010940663.1		hypothetical protein		9714863	DVU4013	198	65	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	36482	37984	-						2793310	DVU0030	1503		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	36482	37984	-	YP_009255.1	WP_010937341.1		GntR family transcriptional regulator		2793310	DVU0030	1503	500	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	38186	39172	+						2793311	DVU0031	987		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	38186	39172	+	YP_009256.2	WP_010937342.1		AzlC family protein		2793311	DVU0031	987	328	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	39162	39497	+						2795101	DVU0032	336		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	39162	39497	+	YP_009257.1	WP_010937343.1		hypothetical protein		2795101	DVU0032	336	111	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	39764	40378	+						2795102	DVU0033	615		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	39764	40378	+	YP_009258.1	WP_010937344.1		isochorismatase		2795102	DVU0033	615	204	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	40526	41311	+						2796462	DVU0034	786		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	40526	41311	+	YP_009259.1	WP_010937345.1		DSBA-like thioredoxin domain-containing protein		2796462	DVU0034	786	261	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	41700	41873	-						2796463	DVU0035	174		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	41700	41873	-	YP_009260.1	WP_010937346.1		hypothetical protein		2796463	DVU0035	174	57	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	42287	42742	-						2796464	DVU0036	456		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	42287	42742	-	YP_009261.1	WP_010937347.1		hypothetical protein		2796464	DVU0036	456	151	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	42924	43340	-						2796635	DVU0037	417		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	42924	43340	-	YP_009262.1	WP_010937348.1		hypothetical protein		2796635	DVU0037	417	138	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	43678	45528	-						2796636	DVU0038	1851		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	43678	45528	-	YP_009263.1	WP_010937349.1		acyltransferase domain-containing protein		2796636	DVU0038	1851	616	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	45740	46270	+						2796560	DVU0039	531		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	45740	46270	+	YP_009264.1	WP_010937350.1		C4-type zinc finger DksA/TraR family protein		2796560	DVU0039	531	176	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	46450	47064	+						2796561	DVU0040	615		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	46450	47064	+	YP_009265.1	WP_010937351.1		hypothetical protein		2796561	DVU0040	615	204	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	47257	49020	-						2796562	DVU0041	1764		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	47257	49020	-	YP_009266.1	WP_010937352.1		Slt family transglycosylase		2796562	DVU0041	1764	587	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	49163	50314	+						2796581	DVU0042	1152		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	49163	50314	+	YP_009267.2	WP_010937353.1		RNA methyltransferase		2796581	DVU0042	1152	383	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	50554	50823	-					fliQ	2796752	DVU0043	270		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	50554	50823	-	YP_009268.1	WP_010937354.1		flagellar biosynthetic protein FliQ	fliQ	2796752	DVU0043	270	89	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	50840	51547	-					fliP	2796753	DVU0044	708		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	50840	51547	-	YP_009269.1	WP_010937355.1		flagellar biosynthesis protein FliP	fliP	2796753	DVU0044	708	235	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	51576	52097	-						2796754	DVU0045	522		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	51576	52097	-	YP_009270.1	WP_010937356.1		"flagellar biosynthesis protein, FliO"		2796754	DVU0045	522	173	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	52090	52602	-					fliN	2794699	DVU0046	513		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	52090	52602	-	YP_009271.1	WP_010937357.1		flagellar motor switch protein FliN	fliN	2794699	DVU0046	513	170	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	52628	53143	-						2794700	DVU0047	516		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	52628	53143	-	YP_009272.1	WP_010937358.1		flagellar protein FliL		2794700	DVU0047	516	171	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	53164	53904	-						2793673	DVU0048	741		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	53164	53904	-	YP_009273.1	WP_010937359.1		chemotaxis protein MotB		2793673	DVU0048	741	246	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	53901	54995	-						2793674	DVU0049	1095		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	53901	54995	-	YP_009274.1	WP_010937360.1		OmpA family protein		2793674	DVU0049	1095	364	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	55007	55765	-					motA-1	2794510	DVU0050	759		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	55007	55765	-	YP_009275.1	WP_010937361.1		chemotaxis protein MotA	motA-1	2794510	DVU0050	759	252	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	56041	56769	-						2794511	DVU0051	729		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	56041	56769	-	YP_009276.2	WP_010937362.1		hypothetical protein		2794511	DVU0051	729	242	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	56847	57773	-					era	2794512	DVU0052	927		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	56847	57773	-	YP_009277.1	WP_010937363.1		GTP-binding protein Era	era	2794512	DVU0052	927	308	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	58041	60077	+						2795764	DVU0053	2037		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	58041	60077	+	YP_009278.2	WP_010937364.1		sulfate permease		2795764	DVU0053	2037	678	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	60507	61766	+						2795765	DVU0054	1260		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	60507	61766	+	YP_009279.1	WP_010937365.1		dihydrouridine synthase		2795765	DVU0054	1260	419	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	61763	62635	+					ispH	2794178	DVU0055	873		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	61763	62635	+	YP_009280.1	WP_010937366.1		hydroxymethylbutenyl pyrophosphate reductase	ispH	2794178	DVU0055	873	290	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	62676	63629	+					cheV-1	2794179	DVU0056	954		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	62676	63629	+	YP_009281.1	WP_010937367.1		chemotaxis protein CheV	cheV-1	2794179	DVU0056	954	317	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	63889	64530	+						2793369	DVU0057	642		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	63889	64530	+	YP_009282.1	WP_010937368.1		TetR family transcriptional regulator		2793369	DVU0057	642	213	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	64527	65678	+						2793370	DVU0058	1152		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	64527	65678	+	YP_009283.1	WP_010937369.1		RND family efflux transporter MFP subunit		2793370	DVU0058	1152	383	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	65675	69385	+						2793371	DVU0059	3711		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	65675	69385	+	YP_009284.1	WP_010937370.1		AcrB/AcrD/AcrF family protein		2793371	DVU0059	3711	1236	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	69540	70724	+						2796165	DVU0060	1185		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	69540	70724	+	YP_009285.1	WP_010937371.1		RND family efflux transporter MFP subunit		2796165	DVU0060	1185	394	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	70740	73880	+						2794399	DVU0061	3141		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	70740	73880	+	YP_009286.1	WP_010937372.1		multidrug resistance protein		2794399	DVU0061	3141	1046	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	73877	75391	+						2796166	DVU0062	1515		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	73877	75391	+	YP_009287.1	WP_010937373.1		RND efflux system outer membrane lipoprotein		2796166	DVU0062	1515	504	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	75421	75861	+						2793612	DVU0063	441		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	75421	75861	+	YP_009288.1	WP_010937374.1		MarR family transcriptional regulator		2793612	DVU0063	441	146	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	75950	76858	+						2793613	DVU0064	909		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	75950	76858	+	YP_009289.1	WP_010937375.1		hypothetical protein		2793613	DVU0064	909	302	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	77110	77907	+						2795212	DVU0065	798		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	77110	77907	+	YP_009290.1	WP_010937376.1		hypothetical protein		2795212	DVU0065	798	265	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	78122	78691	+						2795213	DVU0066	570		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	78122	78691	+	YP_009291.1	WP_010937377.1		cytidine/deoxycytidylate deaminase domain-containing protein		2795213	DVU0066	570	189	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	78862	79170	-						2795214	DVU0067	309		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	78862	79170	-	YP_009292.1	WP_010937378.1		hypothetical protein		2795214	DVU0067	309	102	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	79547	81082	-						2796766	DVU0068	1536		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	79547	81082	-	YP_009293.1	WP_010937379.1		hypothetical protein		2796766	DVU0068	1536	511	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	81263	85666	-						2796767	DVU0069	4404		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	81263	85666	-	YP_009294.1	WP_010937380.1		hypothetical protein		2796767	DVU0069	4404	1467	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	85666	87021	-						2794173	DVU0070	1356		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	85666	87021	-	YP_009295.1	WP_010937381.1		Ser/Thr protein phosphatase		2794173	DVU0070	1356	451	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	87539	88699	+					dinP	2794886	DVU0071	1161		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	87539	88699	+	YP_009296.1	WP_010937382.1		DNA polymerase IV	dinP	2794886	DVU0071	1161	386	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	89105	89884	+						2794887	DVU0072	780		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	89105	89884	+	YP_009297.1	WP_010937383.1		glucose-1-phosphate cytidylyltransferase		2794887	DVU0072	780	259	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	89894	91000	+						2794888	DVU0073	1107		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	89894	91000	+	YP_009298.1	WP_010937384.1		"CDP-glucose-4,6-dehydratase"		2794888	DVU0073	1107	368	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	90988	91431	+						2795013	DVU0074	444		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	90988	91431	+	YP_009299.1	WP_010937385.1		polysaccharide biosynthesis domain-containing protein		2795013	DVU0074	444	147	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	91765	92898	+						2795014	DVU0075	1134		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	91765	92898	+	YP_009300.1	WP_010937386.1		aminotransferase		2795014	DVU0075	1134	377	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	92916	93953	+						2795015	DVU0076	1038		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	92916	93953	+	YP_009301.2	WP_010937387.1		glycosyl transferase group 2 family protein		2795015	DVU0076	1038	345	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	94316	95398	+						2794407	DVU0077	1083		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	94316	95398	+	YP_009302.1	WP_010937388.1		hypothetical protein		2794407	DVU0077	1083	360	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	95445	95786	+						2794408	DVU0078	342		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	95445	95786	+	YP_009303.1	WP_010937389.1		hypothetical protein		2794408	DVU0078	342	113	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	96159	96962	+						2794409	DVU0079	804		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	96159	96962	+	YP_009304.1	WP_010937390.1		ZIP zinc transporter family protein		2794409	DVU0079	804	267	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	97000	98406	+					fumC	2794226	DVU0080	1407		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	97000	98406	+	YP_009305.1	WP_010937391.1		fumarate hydratase	fumC	2794226	DVU0080	1407	468	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	98559	100289	-						2794227	DVU0081	1731		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	98559	100289	-	YP_009306.1	WP_010937392.1		sensory box histidine kinase/response regulator		2794227	DVU0081	1731	576	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	100383	101975	-						2796749	DVU0082	1593		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	100383	101975	-	YP_009307.1	WP_010937393.1		hypothetical protein		2796749	DVU0082	1593	530	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	102105	102524	+						2796750	DVU0083	420		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	102105	102524	+	YP_009308.1	WP_010937394.1		hypothetical protein		2796750	DVU0083	420	139	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	102596	103648	-						2796751	DVU0084	1053		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	102596	103648	-	YP_009309.1	WP_010937395.1		aIF-2BI family translation initiation factor		2796751	DVU0084	1053	350	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	104165	105409	+					trpB-1	2793579	DVU0085	1245		
CDS	with_protein	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	104165	105409	+	YP_009310.1	WP_010937396.1		tryptophan synthase subunit beta	trpB-1	2793579	DVU0085	1245	414	
gene	protein_coding	GCF_000195755.1	Primary Assembly	chromosome		NC_002937.3	105446	105667	-						2793580	DVU0086	222		
