rate	yield	isolate_1	isolate_2	isolate_1_line	isolate_2_line	isolate_1_EPD	isolate_2_EPD	isolate_1_clone	isolate_2_clone	EPD	clone	pairing_type
0.02629632	0.406243583	UA3.152.03.D03	WT.0.*.M01	UA3	WT	3	*	D03	Man	3	3	Dv-E_Mm-A
0.017331082	0.37474092	UA3.152.09.D01	WT.0.*.M01	UA3	WT	9	*	D01	Man	9	1	Dv-E_Mm-A
0.018471361	0.390278194	UA3.152.09.D01	WT.0.*.M01	UA3	WT	9	*	D01	Man	9	1	Dv-E_Mm-A
0.016609237	0.358637462	UA3.152.09.D01	WT.0.*.M01	UA3	WT	9	*	D01	Man	9	1	Dv-E_Mm-A
0.007842077	0.30738472	UA3.152.09.D01	WT.0.*.M01	UA3	WT	9	*	D01	Man	9	1	Dv-E_Mm-A
0.009194585	0.304280285	UA3.152.09.D01	WT.0.*.M01	UA3	WT	9	*	D01	Man	9	1	Dv-E_Mm-A
0.00515929	0.23215732	WT.0.*.D01	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.006992082	0.305123692	KSEA.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005368832	0.252089802	KSEA.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005954758	0.288317995	KSEA.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005882299	0.264912523	KSEA.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005314866	0.263517557	KSEA.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.004492674	0.242685325	KSEA.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.006331665	0.305671808	KSEE.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005215425	0.253194763	KSEE.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005190346	0.232979543	KSEE.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.004472639	0.263985575	KSEE.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.003632853	0.263566479	KSEE.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005894041	0.284328272	KSEE.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.004474702	0.24530113	KSES.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.005343422	0.275083695	KSES.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
0.006227821	0.282569828	KSES.0.*.*	WT.0.*.M01	WT	WT	*	*	Dan	Man	An	0	Dv-A_Mm-A
